funcid,dim,milestone,error
2,10,1,8.579771e+10
2,10,2,8.579771e+10
2,10,3,7.069002e+10
2,10,5,6.160332e+09
2,10,10,3.297775e+08
2,10,20,1.033615e+08
2,10,30,8.431016e+07
2,10,40,8.431016e+07
2,10,50,1.077992e+07
2,10,60,1.077992e+07
2,10,70,1.077992e+07
2,10,80,1.077992e+07
2,10,90,1.077992e+07
2,10,100,1.077992e+07
2,10,1,4.079048e+11
2,10,2,1.142537e+11
2,10,3,1.075543e+11
2,10,5,1.678952e+10
2,10,10,2.419982e+08
2,10,20,1.564295e+07
2,10,30,1.564295e+07
2,10,40,1.564295e+07
2,10,50,1.564295e+07
2,10,60,1.564295e+07
2,10,70,2.505033e+06
2,10,80,2.442544e+06
2,10,90,1.564900e+05
2,10,100,1.564900e+05
2,10,1,7.281881e+10
2,10,2,4.226957e+10
2,10,3,4.226957e+10
2,10,5,3.876075e+09
2,10,10,3.385517e+09
2,10,20,6.042553e+08
2,10,30,3.757953e+07
2,10,40,1.617980e+07
2,10,50,1.611842e+07
2,10,60,1.216504e+07
2,10,70,1.216504e+07
2,10,80,1.214908e+07
2,10,90,1.212915e+07
2,10,100,1.831981e+06
2,10,1,1.204058e+10
2,10,2,1.204058e+10
2,10,3,1.203762e+10
2,10,5,9.631561e+09
2,10,10,8.803576e+09
2,10,20,9.664345e+07
2,10,30,9.664345e+07
2,10,40,9.664345e+07
2,10,50,1.053675e+07
2,10,60,1.425958e+06
2,10,70,1.183498e+06
2,10,80,1.152467e+06
2,10,90,1.152467e+06
2,10,100,3.449420e+05
2,10,1,1.968615e+11
2,10,2,6.057666e+09
2,10,3,5.958778e+09
2,10,5,1.364434e+08
2,10,10,1.364434e+08
2,10,20,8.043421e+07
2,10,30,4.728590e+07
2,10,40,3.403070e+07
2,10,50,1.859467e+07
2,10,60,1.558810e+07
2,10,70,1.402341e+07
2,10,80,1.402341e+07
2,10,90,2.736846e+06
2,10,100,1.871668e+06
2,10,1,3.436776e+11
2,10,2,1.498559e+11
2,10,3,1.498559e+11
2,10,5,1.672842e+09
2,10,10,1.441439e+09
2,10,20,7.055349e+08
2,10,30,3.079174e+08
2,10,40,1.558796e+08
2,10,50,1.495662e+07
2,10,60,1.495456e+07
2,10,70,8.271427e+06
2,10,80,7.884280e+06
2,10,90,5.550592e+06
2,10,100,3.859611e+06
2,10,1,1.752213e+10
2,10,2,7.496485e+09
2,10,3,7.496485e+09
2,10,5,2.365846e+08
2,10,10,2.365846e+08
2,10,20,2.365846e+08
2,10,30,6.876043e+07
2,10,40,6.403246e+07
2,10,50,1.332496e+07
2,10,60,1.332496e+07
2,10,70,5.951022e+06
2,10,80,5.950985e+06
2,10,90,5.950985e+06
2,10,100,5.112146e+06
2,10,1,3.531932e+10
2,10,2,1.679190e+10
2,10,3,1.679190e+10
2,10,5,2.897040e+09
2,10,10,2.897040e+09
2,10,20,5.640239e+08
2,10,30,2.566968e+08
2,10,40,7.310022e+07
2,10,50,5.789598e+07
2,10,60,2.832146e+07
2,10,70,2.832146e+07
2,10,80,2.830924e+07
2,10,90,1.593767e+07
2,10,100,1.257633e+06
2,10,1,6.790669e+10
2,10,2,1.073132e+10
2,10,3,9.940054e+09
2,10,5,1.414960e+09
2,10,10,1.537894e+08
2,10,20,7.585412e+07
2,10,30,5.085513e+07
2,10,40,2.968084e+07
2,10,50,7.529470e+06
2,10,60,7.525338e+06
2,10,70,4.756468e+06
2,10,80,4.756468e+06
2,10,90,2.942314e+06
2,10,100,1.163396e+06
2,10,1,2.261459e+11
2,10,2,1.524628e+11
2,10,3,1.406468e+11
2,10,5,2.430749e+10
2,10,10,2.266109e+09
2,10,20,2.967947e+08
2,10,30,2.687990e+07
2,10,40,2.086557e+07
2,10,50,1.816285e+07
2,10,60,1.816285e+07
2,10,70,4.243118e+06
2,10,80,4.243118e+06
2,10,90,4.243118e+06
2,10,100,2.688417e+06
