funcid,dim,milestone,error
14,10,1,5.700105e+03
14,10,2,1.768607e+02
14,10,3,1.768607e+02
14,10,5,1.768607e+02
14,10,10,9.519589e+01
14,10,20,9.451020e+01
14,10,30,9.447269e+01
14,10,40,9.369972e+01
14,10,50,9.074593e+01
14,10,60,9.074151e+01
14,10,70,9.073375e+01
14,10,80,9.073375e+01
14,10,90,9.065951e+01
14,10,100,9.065951e+01
14,10,1,6.023980e+03
14,10,2,8.031495e+02
14,10,3,7.055849e+02
14,10,5,1.348819e+02
14,10,10,1.250800e+02
14,10,20,1.249102e+02
14,10,30,1.247151e+02
14,10,40,1.230316e+02
14,10,50,1.230167e+02
14,10,60,1.230167e+02
14,10,70,1.223096e+02
14,10,80,1.223096e+02
14,10,90,1.221540e+02
14,10,100,1.221540e+02
14,10,1,2.078192e+03
14,10,2,2.132819e+02
14,10,3,1.393337e+02
14,10,5,1.393337e+02
14,10,10,1.178333e+02
14,10,20,8.847184e+01
14,10,30,8.841607e+01
14,10,40,8.836138e+01
14,10,50,8.827619e+01
14,10,60,8.823657e+01
14,10,70,8.788885e+01
14,10,80,8.788885e+01
14,10,90,8.788014e+01
14,10,100,8.751538e+01
14,10,1,8.284640e+03
14,10,2,3.535482e+03
14,10,3,6.571328e+02
14,10,5,1.672586e+02
14,10,10,1.369194e+02
14,10,20,1.129221e+02
14,10,30,1.129145e+02
14,10,40,1.014585e+02
14,10,50,1.014129e+02
14,10,60,1.012707e+02
14,10,70,1.012707e+02
14,10,80,1.011917e+02
14,10,90,1.010525e+02
14,10,100,1.010525e+02
14,10,1,3.015999e+03
14,10,2,2.992728e+03
14,10,3,2.730254e+03
14,10,5,3.198575e+02
14,10,10,7.655943e+01
14,10,20,7.442694e+01
14,10,30,7.442411e+01
14,10,40,7.440882e+01
14,10,50,7.439921e+01
14,10,60,7.436556e+01
14,10,70,7.425038e+01
14,10,80,7.425038e+01
14,10,90,6.846285e+01
14,10,100,6.846285e+01
14,10,1,1.862531e+03
14,10,2,7.734568e+02
14,10,3,2.691324e+02
14,10,5,9.282373e+01
14,10,10,9.269457e+01
14,10,20,9.048343e+01
14,10,30,8.929482e+01
14,10,40,8.929482e+01
14,10,50,8.929482e+01
14,10,60,8.929106e+01
14,10,70,8.927181e+01
14,10,80,8.927181e+01
14,10,90,8.922888e+01
14,10,100,8.915780e+01
14,10,1,3.843820e+04
14,10,2,3.221876e+02
14,10,3,1.317713e+02
14,10,5,1.317713e+02
14,10,10,1.291120e+02
14,10,20,1.152753e+02
14,10,30,1.150444e+02
14,10,40,1.144340e+02
14,10,50,1.142216e+02
14,10,60,1.142216e+02
14,10,70,1.138411e+02
14,10,80,1.138216e+02
14,10,90,1.138216e+02
14,10,100,1.134796e+02
14,10,1,3.649848e+04
14,10,2,1.540429e+03
14,10,3,1.416082e+02
14,10,5,1.416082e+02
14,10,10,7.794973e+01
14,10,20,7.703141e+01
14,10,30,7.694738e+01
14,10,40,7.692242e+01
14,10,50,7.686561e+01
14,10,60,7.634225e+01
14,10,70,7.634225e+01
14,10,80,7.606178e+01
14,10,90,7.566537e+01
14,10,100,7.566537e+01
14,10,1,1.680709e+03
14,10,2,3.384151e+02
14,10,3,1.829700e+02
14,10,5,1.829700e+02
14,10,10,1.046773e+02
14,10,20,1.046637e+02
14,10,30,1.035418e+02
14,10,40,1.028676e+02
14,10,50,1.027457e+02
14,10,60,1.027371e+02
14,10,70,1.027371e+02
14,10,80,1.026430e+02
14,10,90,1.025769e+02
14,10,100,1.025769e+02
14,10,1,2.637070e+03
14,10,2,1.548316e+02
14,10,3,1.548316e+02
14,10,5,1.548316e+02
14,10,10,1.234121e+02
14,10,20,7.225100e+01
14,10,30,7.216564e+01
14,10,40,7.216564e+01
14,10,50,7.216564e+01
14,10,60,7.216366e+01
14,10,70,7.206281e+01
14,10,80,7.196295e+01
14,10,90,7.196295e+01
14,10,100,7.195876e+01
