funcid,dim,milestone,error
17,10,1,4.110786e+02
17,10,2,2.704584e+02
17,10,3,2.704584e+02
17,10,5,1.702408e+02
17,10,10,1.100250e+02
17,10,20,6.792893e+01
17,10,30,6.356015e+01
17,10,40,6.300453e+01
17,10,50,5.613407e+01
17,10,60,5.613407e+01
17,10,70,5.386153e+01
17,10,80,5.385816e+01
17,10,90,5.385816e+01
17,10,100,5.382851e+01
17,10,1,1.671935e+02
17,10,2,1.671935e+02
17,10,3,1.546322e+02
17,10,5,1.546322e+02
17,10,10,8.807385e+01
17,10,20,7.136085e+01
17,10,30,7.119493e+01
17,10,40,7.102453e+01
17,10,50,7.100775e+01
17,10,60,7.100775e+01
17,10,70,7.085543e+01
17,10,80,7.064471e+01
17,10,90,7.064471e+01
17,10,100,6.797626e+01
17,10,1,3.360045e+02
17,10,2,2.530548e+02
17,10,3,2.044077e+02
17,10,5,9.766282e+01
17,10,10,8.520711e+01
17,10,20,7.824057e+01
17,10,30,7.812453e+01
17,10,40,7.812037e+01
17,10,50,7.806408e+01
17,10,60,7.718559e+01
17,10,70,7.718559e+01
17,10,80,7.715861e+01
17,10,90,7.712936e+01
17,10,100,7.712936e+01
17,10,1,2.123998e+02
17,10,2,2.123998e+02
17,10,3,1.716673e+02
17,10,5,1.716673e+02
17,10,10,1.530376e+02
17,10,20,1.469316e+02
17,10,30,1.258253e+02
17,10,40,7.546699e+01
17,10,50,7.448819e+01
17,10,60,7.445908e+01
17,10,70,7.445908e+01
17,10,80,7.388181e+01
17,10,90,7.373821e+01
17,10,100,7.373821e+01
17,10,1,2.607370e+02
17,10,2,2.395564e+02
17,10,3,2.395564e+02
17,10,5,1.931309e+02
17,10,10,1.200455e+02
17,10,20,9.073398e+01
17,10,30,9.052334e+01
17,10,40,8.910389e+01
17,10,50,8.844688e+01
17,10,60,8.843786e+01
17,10,70,8.843786e+01
17,10,80,8.826387e+01
17,10,90,8.826387e+01
17,10,100,6.655438e+01
17,10,1,2.287885e+02
17,10,2,1.434346e+02
17,10,3,1.434346e+02
17,10,5,1.380038e+02
17,10,10,1.316902e+02
17,10,20,1.301167e+02
17,10,30,6.643347e+01
17,10,40,6.236023e+01
17,10,50,6.110276e+01
17,10,60,5.868671e+01
17,10,70,5.702845e+01
17,10,80,5.702845e+01
17,10,90,5.607149e+01
17,10,100,5.607026e+01
17,10,1,2.767585e+02
17,10,2,1.838180e+02
17,10,3,1.838180e+02
17,10,5,1.196920e+02
17,10,10,1.063674e+02
17,10,20,9.873614e+01
17,10,30,9.660267e+01
17,10,40,9.526958e+01
17,10,50,9.499053e+01
17,10,60,8.622089e+01
17,10,70,8.200746e+01
17,10,80,8.194947e+01
17,10,90,7.462199e+01
17,10,100,7.462199e+01
17,10,1,5.319712e+02
17,10,2,4.143558e+02
17,10,3,4.143558e+02
17,10,5,2.299486e+02
17,10,10,1.643248e+02
17,10,20,6.904666e+01
17,10,30,6.467326e+01
17,10,40,6.405266e+01
17,10,50,6.052445e+01
17,10,60,6.006581e+01
17,10,70,6.006581e+01
17,10,80,5.974240e+01
17,10,90,5.965470e+01
17,10,100,5.965470e+01
17,10,1,4.204537e+02
17,10,2,3.550421e+02
17,10,3,3.439937e+02
17,10,5,2.391238e+02
17,10,10,1.911277e+02
17,10,20,1.230076e+02
17,10,30,1.092932e+02
17,10,40,8.103029e+01
17,10,50,6.250505e+01
17,10,60,6.250505e+01
17,10,70,6.241166e+01
17,10,80,6.236437e+01
17,10,90,6.236437e+01
17,10,100,6.236295e+01
17,10,1,2.568230e+02
17,10,2,2.236643e+02
17,10,3,2.035368e+02
17,10,5,2.035368e+02
17,10,10,1.653046e+02
17,10,20,1.166730e+02
17,10,30,7.938140e+01
17,10,40,7.535393e+01
17,10,50,7.535393e+01
17,10,60,7.533122e+01
17,10,70,7.502442e+01
17,10,80,7.502049e+01
17,10,90,7.502049e+01
17,10,100,7.370615e+01
