funcid,dim,milestone,error
3,30,1,1.169977e+05
3,30,2,1.156889e+05
3,30,3,1.156889e+05
3,30,5,1.156762e+05
3,30,10,1.156616e+05
3,30,20,1.156429e+05
3,30,30,1.155212e+05
3,30,40,1.154462e+05
3,30,50,1.154103e+05
3,30,60,1.153395e+05
3,30,70,1.152759e+05
3,30,80,1.152164e+05
3,30,90,1.151002e+05
3,30,100,1.150026e+05
3,30,1,1.790199e+05
3,30,2,1.743429e+05
3,30,3,1.694496e+05
3,30,5,1.043969e+05
3,30,10,1.039436e+05
3,30,20,1.038148e+05
3,30,30,1.024793e+05
3,30,40,1.005499e+05
3,30,50,1.004719e+05
3,30,60,9.617566e+04
3,30,70,9.604364e+04
3,30,80,9.597947e+04
3,30,90,9.590569e+04
3,30,100,9.585385e+04
3,30,1,1.212282e+05
3,30,2,1.212282e+05
3,30,3,1.212282e+05
3,30,5,1.212282e+05
3,30,10,1.212282e+05
3,30,20,1.212282e+05
3,30,30,1.212282e+05
3,30,40,1.212282e+05
3,30,50,1.212282e+05
3,30,60,1.212282e+05
3,30,70,1.212282e+05
3,30,80,1.212282e+05
3,30,90,1.212282e+05
3,30,100,1.212282e+05
3,30,1,1.586362e+05
3,30,2,1.586362e+05
3,30,3,1.586362e+05
3,30,5,1.584203e+05
3,30,10,1.127071e+05
3,30,20,1.126755e+05
3,30,30,1.080195e+05
3,30,40,1.079724e+05
3,30,50,1.078926e+05
3,30,60,1.078565e+05
3,30,70,1.077966e+05
3,30,80,1.077413e+05
3,30,90,1.076456e+05
3,30,100,9.825380e+04
3,30,1,1.239157e+05
3,30,2,1.239157e+05
3,30,3,1.239157e+05
3,30,5,1.239157e+05
3,30,10,1.239157e+05
3,30,20,1.239157e+05
3,30,30,1.239157e+05
3,30,40,1.239157e+05
3,30,50,1.239157e+05
3,30,60,1.239157e+05
3,30,70,1.239157e+05
3,30,80,1.239157e+05
3,30,90,1.239157e+05
3,30,100,1.239157e+05
3,30,1,1.891349e+05
3,30,2,1.709818e+05
3,30,3,1.230701e+05
3,30,5,1.163583e+05
3,30,10,9.070600e+04
3,30,20,9.070600e+04
3,30,30,9.070600e+04
3,30,40,9.070600e+04
3,30,50,9.070600e+04
3,30,60,9.070600e+04
3,30,70,9.070600e+04
3,30,80,9.070600e+04
3,30,90,9.070600e+04
3,30,100,9.070600e+04
3,30,1,2.426133e+05
3,30,2,1.661535e+05
3,30,3,1.498445e+05
3,30,5,1.459336e+05
3,30,10,1.408340e+05
3,30,20,1.349881e+05
3,30,30,1.348986e+05
3,30,40,1.347996e+05
3,30,50,1.346605e+05
3,30,60,1.345930e+05
3,30,70,1.345274e+05
3,30,80,1.344511e+05
3,30,90,1.343389e+05
3,30,100,1.343389e+05
3,30,1,1.458072e+05
3,30,2,1.453477e+05
3,30,3,1.230977e+05
3,30,5,1.230977e+05
3,30,10,1.230457e+05
3,30,20,1.229810e+05
3,30,30,1.228599e+05
3,30,40,1.228313e+05
3,30,50,1.227637e+05
3,30,60,1.226071e+05
3,30,70,1.225193e+05
3,30,80,1.224431e+05
3,30,90,1.223991e+05
3,30,100,1.153250e+05
3,30,1,2.031459e+05
3,30,2,1.497436e+05
3,30,3,1.497436e+05
3,30,5,1.496547e+05
3,30,10,1.382099e+05
3,30,20,1.381128e+05
3,30,30,1.379809e+05
3,30,40,1.379379e+05
3,30,50,1.379025e+05
3,30,60,1.378652e+05
3,30,70,1.378215e+05
3,30,80,1.323036e+05
3,30,90,1.323036e+05
3,30,100,1.323036e+05
3,30,1,2.022832e+05
3,30,2,1.697829e+05
3,30,3,1.415892e+05
3,30,5,1.404920e+05
3,30,10,1.368038e+05
3,30,20,1.270787e+05
3,30,30,1.270537e+05
3,30,40,1.269351e+05
3,30,50,1.268844e+05
3,30,60,1.268148e+05
3,30,70,1.267381e+05
3,30,80,1.266710e+05
3,30,90,1.265573e+05
3,30,100,1.265094e+05
