funcid,dim,milestone,error
16,30,1,4.841596e+03
16,30,2,4.740896e+03
16,30,3,4.435757e+03
16,30,5,4.304411e+03
16,30,10,3.229900e+03
16,30,20,2.631032e+03
16,30,30,2.297773e+03
16,30,40,2.168003e+03
16,30,50,2.123846e+03
16,30,60,2.037472e+03
16,30,70,2.002038e+03
16,30,80,1.917451e+03
16,30,90,1.917451e+03
16,30,100,1.917451e+03
16,30,1,2.771416e+03
16,30,2,2.696353e+03
16,30,3,2.696353e+03
16,30,5,2.506611e+03
16,30,10,2.151177e+03
16,30,20,1.794078e+03
16,30,30,1.745996e+03
16,30,40,1.700502e+03
16,30,50,1.683588e+03
16,30,60,1.679293e+03
16,30,70,1.670970e+03
16,30,80,1.666573e+03
16,30,90,1.639933e+03
16,30,100,1.636036e+03
16,30,1,5.037999e+03
16,30,2,4.666836e+03
16,30,3,3.637297e+03
16,30,5,3.423139e+03
16,30,10,2.701217e+03
16,30,20,2.257702e+03
16,30,30,2.168368e+03
16,30,40,2.115442e+03
16,30,50,2.113926e+03
16,30,60,2.082800e+03
16,30,70,1.972006e+03
16,30,80,1.909149e+03
16,30,90,1.847064e+03
16,30,100,1.783056e+03
16,30,1,3.822877e+03
16,30,2,3.693316e+03
16,30,3,3.358094e+03
16,30,5,3.225356e+03
16,30,10,2.843816e+03
16,30,20,2.628151e+03
16,30,30,2.407685e+03
16,30,40,2.305306e+03
16,30,50,2.265160e+03
16,30,60,2.134918e+03
16,30,70,2.091969e+03
16,30,80,2.016356e+03
16,30,90,1.977932e+03
16,30,100,1.941908e+03
16,30,1,4.251354e+03
16,30,2,4.189637e+03
16,30,3,2.757120e+03
16,30,5,2.750984e+03
16,30,10,2.736904e+03
16,30,20,2.031522e+03
16,30,30,1.659896e+03
16,30,40,1.553687e+03
16,30,50,1.494541e+03
16,30,60,1.419098e+03
16,30,70,1.387864e+03
16,30,80,1.357929e+03
16,30,90,1.313322e+03
16,30,100,1.279936e+03
16,30,1,4.019123e+03
16,30,2,3.966676e+03
16,30,3,3.838440e+03
16,30,5,3.710960e+03
16,30,10,2.712286e+03
16,30,20,2.450888e+03
16,30,30,2.351377e+03
16,30,40,2.272881e+03
16,30,50,2.226459e+03
16,30,60,2.218190e+03
16,30,70,2.209332e+03
16,30,80,2.205528e+03
16,30,90,2.185906e+03
16,30,100,2.091672e+03
16,30,1,4.712542e+03
16,30,2,4.618403e+03
16,30,3,4.618403e+03
16,30,5,4.387873e+03
16,30,10,3.346148e+03
16,30,20,2.437349e+03
16,30,30,2.173298e+03
16,30,40,2.068028e+03
16,30,50,1.999112e+03
16,30,60,1.938501e+03
16,30,70,1.793334e+03
16,30,80,1.737382e+03
16,30,90,1.699708e+03
16,30,100,1.644386e+03
16,30,1,4.181060e+03
16,30,2,4.099683e+03
16,30,3,3.771785e+03
16,30,5,3.351106e+03
16,30,10,2.393148e+03
16,30,20,2.250070e+03
16,30,30,2.068667e+03
16,30,40,1.935522e+03
16,30,50,1.838716e+03
16,30,60,1.788833e+03
16,30,70,1.673108e+03
16,30,80,1.632684e+03
16,30,90,1.594720e+03
16,30,100,1.559435e+03
16,30,1,4.440383e+03
16,30,2,4.255669e+03
16,30,3,3.999843e+03
16,30,5,3.404237e+03
16,30,10,3.257026e+03
16,30,20,2.534052e+03
16,30,30,2.343122e+03
16,30,40,2.248025e+03
16,30,50,2.203037e+03
16,30,60,2.147362e+03
16,30,70,2.123210e+03
16,30,80,2.057247e+03
16,30,90,1.936423e+03
16,30,100,1.842178e+03
16,30,1,3.350996e+03
16,30,2,3.131976e+03
16,30,3,3.076337e+03
16,30,5,2.780680e+03
16,30,10,2.379428e+03
16,30,20,1.910135e+03
16,30,30,1.910135e+03
16,30,40,1.910135e+03
16,30,50,1.910135e+03
16,30,60,1.910135e+03
16,30,70,1.910135e+03
16,30,80,1.910135e+03
16,30,90,1.895649e+03
16,30,100,1.870400e+03
