funcid,dim,milestone,error
18,30,1,9.445685e+07
18,30,2,9.445685e+07
18,30,3,1.871776e+07
18,30,5,1.843729e+07
18,30,10,5.888575e+06
18,30,20,2.811937e+06
18,30,30,1.316337e+06
18,30,40,2.516804e+05
18,30,50,2.004633e+05
18,30,60,1.841500e+05
18,30,70,1.772810e+05
18,30,80,1.759651e+05
18,30,90,1.748899e+05
18,30,100,1.743819e+05
18,30,1,5.103234e+07
18,30,2,3.204942e+07
18,30,3,2.934957e+07
18,30,5,1.633105e+07
18,30,10,8.367883e+06
18,30,20,2.134641e+06
18,30,30,7.493099e+05
18,30,40,6.467787e+05
18,30,50,2.202080e+05
18,30,60,2.032978e+05
18,30,70,1.899269e+05
18,30,80,1.801521e+05
18,30,90,1.604280e+05
18,30,100,1.521373e+05
18,30,1,2.892274e+07
18,30,2,2.892274e+07
18,30,3,2.892274e+07
18,30,5,2.476610e+07
18,30,10,5.645760e+06
18,30,20,2.952150e+06
18,30,30,1.325197e+06
18,30,40,9.263694e+05
18,30,50,6.629336e+05
18,30,60,5.043493e+05
18,30,70,4.919143e+05
18,30,80,4.466606e+05
18,30,90,4.348407e+05
18,30,100,4.160166e+05
18,30,1,2.108365e+07
18,30,2,1.182762e+07
18,30,3,9.203141e+06
18,30,5,8.948009e+06
18,30,10,2.578859e+06
18,30,20,4.800727e+05
18,30,30,2.188893e+05
18,30,40,1.705290e+05
18,30,50,1.475765e+05
18,30,60,1.456914e+05
18,30,70,1.451334e+05
18,30,80,1.447711e+05
18,30,90,1.446998e+05
18,30,100,1.446747e+05
18,30,1,5.400437e+07
18,30,2,5.030336e+07
18,30,3,3.497316e+07
18,30,5,1.843913e+07
18,30,10,1.262049e+07
18,30,20,3.944821e+06
18,30,30,1.763164e+06
18,30,40,7.399411e+05
18,30,50,5.798880e+05
18,30,60,4.936051e+05
18,30,70,4.334237e+05
18,30,80,4.037374e+05
18,30,90,2.962896e+05
18,30,100,2.847140e+05
18,30,1,4.862052e+07
18,30,2,3.005060e+07
18,30,3,1.196078e+07
18,30,5,9.289033e+06
18,30,10,3.883961e+06
18,30,20,2.953206e+06
18,30,30,9.352373e+05
18,30,40,4.864888e+05
18,30,50,4.250521e+05
18,30,60,3.875290e+05
18,30,70,3.778088e+05
18,30,80,3.732130e+05
18,30,90,3.589339e+05
18,30,100,3.525621e+05
18,30,1,6.642709e+07
18,30,2,3.507669e+07
18,30,3,2.238818e+07
18,30,5,1.052692e+07
18,30,10,7.704074e+06
18,30,20,3.034917e+06
18,30,30,1.133604e+06
18,30,40,1.099032e+06
18,30,50,4.833479e+05
18,30,60,2.757696e+05
18,30,70,2.466269e+05
18,30,80,2.338273e+05
18,30,90,2.041106e+05
18,30,100,1.938469e+05
18,30,1,1.243322e+07
18,30,2,1.243322e+07
18,30,3,4.459466e+06
18,30,5,1.992277e+06
18,30,10,1.590816e+06
18,30,20,1.295175e+06
18,30,30,7.805070e+05
18,30,40,7.231830e+05
18,30,50,4.942613e+05
18,30,60,4.252209e+05
18,30,70,3.567771e+05
18,30,80,3.155894e+05
18,30,90,3.076031e+05
18,30,100,2.987723e+05
18,30,1,3.773536e+07
18,30,2,2.764608e+07
18,30,3,2.764608e+07
18,30,5,2.467382e+06
18,30,10,1.142903e+06
18,30,20,1.103107e+06
18,30,30,9.574937e+05
18,30,40,5.247654e+05
18,30,50,4.936638e+05
18,30,60,4.678330e+05
18,30,70,4.521793e+05
18,30,80,4.277078e+05
18,30,90,4.193334e+05
18,30,100,4.042613e+05
18,30,1,3.446148e+07
18,30,2,3.097751e+07
18,30,3,1.944424e+07
18,30,5,5.118313e+06
18,30,10,2.489829e+06
18,30,20,2.657037e+05
18,30,30,2.370686e+05
18,30,40,2.281632e+05
18,30,50,2.268933e+05
18,30,60,2.235848e+05
18,30,70,2.220391e+05
18,30,80,2.190560e+05
18,30,90,2.174272e+05
18,30,100,2.159296e+05
