funcid,dim,milestone,error
6,10,1,5.918839e+01
6,10,2,5.326829e+01
6,10,3,5.326829e+01
6,10,5,5.179391e+01
6,10,10,3.380140e+01
6,10,20,2.495132e+01
6,10,30,2.414247e+01
6,10,40,2.344927e+01
6,10,50,2.324714e+01
6,10,60,2.324714e+01
6,10,70,2.317470e+01
6,10,80,2.310920e+01
6,10,90,2.310920e+01
6,10,100,2.307708e+01
6,10,1,6.989604e+01
6,10,2,5.975841e+01
6,10,3,5.756324e+01
6,10,5,5.580929e+01
6,10,10,4.928628e+01
6,10,20,4.049329e+01
6,10,30,3.760577e+01
6,10,40,3.692648e+01
6,10,50,3.591826e+01
6,10,60,3.527630e+01
6,10,70,3.527630e+01
6,10,80,3.512859e+01
6,10,90,3.497621e+01
6,10,100,3.497621e+01
6,10,1,6.523073e+01
6,10,2,6.442070e+01
6,10,3,6.190276e+01
6,10,5,6.190276e+01
6,10,10,4.603168e+01
6,10,20,4.333078e+01
6,10,30,4.308228e+01
6,10,40,4.283938e+01
6,10,50,4.224285e+01
6,10,60,4.220244e+01
6,10,70,4.204994e+01
6,10,80,4.186180e+01
6,10,90,4.181913e+01
6,10,100,4.175908e+01
6,10,1,3.752527e+01
6,10,2,3.437482e+01
6,10,3,3.437482e+01
6,10,5,3.105012e+01
6,10,10,2.904589e+01
6,10,20,2.834791e+01
6,10,30,2.744467e+01
6,10,40,2.673001e+01
6,10,50,2.625600e+01
6,10,60,2.597587e+01
6,10,70,2.589144e+01
6,10,80,2.589144e+01
6,10,90,2.583554e+01
6,10,100,2.583554e+01
6,10,1,5.739832e+01
6,10,2,5.101365e+01
6,10,3,5.000775e+01
6,10,5,5.000775e+01
6,10,10,4.394948e+01
6,10,20,3.734149e+01
6,10,30,3.614590e+01
6,10,40,3.582446e+01
6,10,50,3.544497e+01
6,10,60,3.498650e+01
6,10,70,3.498650e+01
6,10,80,3.362153e+01
6,10,90,3.245062e+01
6,10,100,3.245062e+01
6,10,1,6.715890e+01
6,10,2,6.715890e+01
6,10,3,6.570461e+01
6,10,5,4.581912e+01
6,10,10,3.554080e+01
6,10,20,3.358420e+01
6,10,30,3.298178e+01
6,10,40,3.280173e+01
6,10,50,3.247638e+01
6,10,60,3.214318e+01
6,10,70,3.189286e+01
6,10,80,3.189286e+01
6,10,90,3.165200e+01
6,10,100,3.165200e+01
6,10,1,7.312857e+01
6,10,2,6.889736e+01
6,10,3,6.889736e+01
6,10,5,4.360013e+01
6,10,10,3.750842e+01
6,10,20,3.245734e+01
6,10,30,3.028793e+01
6,10,40,2.952795e+01
6,10,50,2.874457e+01
6,10,60,2.822680e+01
6,10,70,2.822680e+01
6,10,80,2.816280e+01
6,10,90,2.804727e+01
6,10,100,2.804727e+01
6,10,1,7.451760e+01
6,10,2,6.641974e+01
6,10,3,6.486109e+01
6,10,5,5.995702e+01
6,10,10,4.276747e+01
6,10,20,3.665626e+01
6,10,30,3.625898e+01
6,10,40,3.585389e+01
6,10,50,3.573016e+01
6,10,60,3.573016e+01
6,10,70,3.558289e+01
6,10,80,3.552603e+01
6,10,90,3.552603e+01
6,10,100,3.551011e+01
6,10,1,7.721403e+01
6,10,2,7.634762e+01
6,10,3,7.328648e+01
6,10,5,6.306890e+01
6,10,10,5.339368e+01
6,10,20,4.919735e+01
6,10,30,4.559977e+01
6,10,40,4.465310e+01
6,10,50,4.316700e+01
6,10,60,4.268603e+01
6,10,70,4.268603e+01
6,10,80,4.235993e+01
6,10,90,4.222160e+01
6,10,100,4.164855e+01
6,10,1,6.913293e+01
6,10,2,6.913293e+01
6,10,3,6.150901e+01
6,10,5,4.619621e+01
6,10,10,4.192776e+01
6,10,20,4.006360e+01
6,10,30,3.785280e+01
6,10,40,3.175848e+01
6,10,50,3.023599e+01
6,10,60,2.824081e+01
6,10,70,2.824081e+01
6,10,80,2.745843e+01
6,10,90,2.732872e+01
6,10,100,2.732872e+01
