funcid,dim,milestone,error
19,10,1,3.302185e+06
19,10,2,1.331776e+05
19,10,3,1.014828e+04
19,10,5,1.014828e+04
19,10,10,6.342375e+02
19,10,20,5.224922e+02
19,10,30,5.211834e+02
19,10,40,5.211775e+02
19,10,50,5.211400e+02
19,10,60,5.211365e+02
19,10,70,5.211365e+02
19,10,80,5.211360e+02
19,10,90,5.211348e+02
19,10,100,5.211348e+02
19,10,1,1.318839e+05
19,10,2,1.813366e+04
19,10,3,3.193901e+03
19,10,5,3.193901e+03
19,10,10,5.078678e+02
19,10,20,2.671095e+02
19,10,30,2.604571e+02
19,10,40,2.603393e+02
19,10,50,2.603393e+02
19,10,60,2.603043e+02
19,10,70,2.602759e+02
19,10,80,2.602635e+02
19,10,90,2.602635e+02
19,10,100,2.594384e+02
19,10,1,7.354344e+05
19,10,2,1.413211e+04
19,10,3,1.413211e+04
19,10,5,1.413211e+04
19,10,10,1.777788e+02
19,10,20,6.017907e+01
19,10,30,5.952741e+01
19,10,40,5.935601e+01
19,10,50,5.934219e+01
19,10,60,5.934219e+01
19,10,70,5.934184e+01
19,10,80,5.934155e+01
19,10,90,5.016651e+01
19,10,100,4.775425e+01
19,10,1,3.741775e+04
19,10,2,9.281364e+02
19,10,3,9.281364e+02
19,10,5,9.281364e+02
19,10,10,8.832314e+02
19,10,20,3.294527e+02
19,10,30,3.294527e+02
19,10,40,3.293084e+02
19,10,50,3.292972e+02
19,10,60,3.292907e+02
19,10,70,3.292907e+02
19,10,80,3.292732e+02
19,10,90,3.292186e+02
19,10,100,3.292186e+02
19,10,1,7.844859e+03
19,10,2,7.844859e+03
19,10,3,7.844859e+03
19,10,5,7.844859e+03
19,10,10,4.362838e+02
19,10,20,2.326500e+02
19,10,30,2.320144e+02
19,10,40,2.320144e+02
19,10,50,2.319742e+02
19,10,60,2.319624e+02
19,10,70,2.319624e+02
19,10,80,2.319586e+02
19,10,90,2.319575e+02
19,10,100,2.319575e+02
19,10,1,2.621318e+05
19,10,2,4.760620e+02
19,10,3,4.760620e+02
19,10,5,4.760620e+02
19,10,10,4.291165e+02
19,10,20,1.285728e+02
19,10,30,1.275606e+02
19,10,40,1.275062e+02
19,10,50,1.275062e+02
19,10,60,1.275060e+02
19,10,70,1.275060e+02
19,10,80,1.275059e+02
19,10,90,1.275042e+02
19,10,100,1.275042e+02
19,10,1,3.519610e+04
19,10,2,5.395585e+03
19,10,3,5.395585e+03
19,10,5,5.395585e+03
19,10,10,2.252687e+03
19,10,20,6.816380e+02
19,10,30,6.791342e+02
19,10,40,6.791342e+02
19,10,50,6.791342e+02
19,10,60,6.791337e+02
19,10,70,6.791321e+02
19,10,80,6.791318e+02
19,10,90,6.791318e+02
19,10,100,6.791316e+02
19,10,1,1.166547e+06
19,10,2,1.586982e+04
19,10,3,1.107914e+04
19,10,5,1.037196e+04
19,10,10,1.928660e+03
19,10,20,8.321173e+02
19,10,30,8.283070e+02
19,10,40,8.274756e+02
19,10,50,8.274756e+02
19,10,60,8.274729e+02
19,10,70,8.274715e+02
19,10,80,5.134459e+02
19,10,90,5.134459e+02
19,10,100,5.134449e+02
19,10,1,1.524903e+06
19,10,2,8.823561e+03
19,10,3,1.621325e+03
19,10,5,1.621325e+03
19,10,10,3.757654e+02
19,10,20,1.289272e+02
19,10,30,1.286946e+02
19,10,40,1.286537e+02
19,10,50,1.286537e+02
19,10,60,1.286534e+02
19,10,70,1.286534e+02
19,10,80,1.286513e+02
19,10,90,1.286424e+02
19,10,100,1.286424e+02
19,10,1,4.289732e+05
19,10,2,1.774458e+04
19,10,3,5.055639e+03
19,10,5,5.055639e+03
19,10,10,1.350705e+03
19,10,20,4.163476e+02
19,10,30,3.842716e+02
19,10,40,3.842716e+02
19,10,50,3.842716e+02
19,10,60,3.842556e+02
19,10,70,3.842425e+02
19,10,80,3.842364e+02
19,10,90,3.842364e+02
19,10,100,3.842176e+02
