funcid,dim,milestone,error
23,30,1,1.241201e+03
23,30,2,1.238047e+03
23,30,3,1.227149e+03
23,30,5,1.210343e+03
23,30,10,1.165112e+03
23,30,20,1.082809e+03
23,30,30,1.040498e+03
23,30,40,1.028086e+03
23,30,50,1.011384e+03
23,30,60,9.996109e+02
23,30,70,9.904488e+02
23,30,80,9.880946e+02
23,30,90,9.866652e+02
23,30,100,9.866652e+02
23,30,1,1.217938e+03
23,30,2,1.209275e+03
23,30,3,1.128695e+03
23,30,5,1.107854e+03
23,30,10,1.080604e+03
23,30,20,1.006605e+03
23,30,30,9.490083e+02
23,30,40,9.278111e+02
23,30,50,9.052255e+02
23,30,60,8.901344e+02
23,30,70,8.859429e+02
23,30,80,8.822420e+02
23,30,90,8.732680e+02
23,30,100,8.732680e+02
23,30,1,1.399432e+03
23,30,2,1.391162e+03
23,30,3,1.229087e+03
23,30,5,1.183232e+03
23,30,10,1.105950e+03
23,30,20,1.038088e+03
23,30,30,1.014368e+03
23,30,40,9.751346e+02
23,30,50,9.599576e+02
23,30,60,9.520883e+02
23,30,70,9.435797e+02
23,30,80,9.435797e+02
23,30,90,9.341009e+02
23,30,100,9.250216e+02
23,30,1,1.466214e+03
23,30,2,1.450105e+03
23,30,3,1.324139e+03
23,30,5,1.297218e+03
23,30,10,1.259752e+03
23,30,20,1.212788e+03
23,30,30,1.152096e+03
23,30,40,1.146308e+03
23,30,50,1.144923e+03
23,30,60,1.144314e+03
23,30,70,1.135695e+03
23,30,80,1.127361e+03
23,30,90,1.127361e+03
23,30,100,1.124812e+03
23,30,1,1.238018e+03
23,30,2,1.232517e+03
23,30,3,1.232517e+03
23,30,5,1.213338e+03
23,30,10,1.187015e+03
23,30,20,1.127767e+03
23,30,30,1.071871e+03
23,30,40,1.067316e+03
23,30,50,1.065291e+03
23,30,60,1.065148e+03
23,30,70,1.063995e+03
23,30,80,1.058430e+03
23,30,90,1.057979e+03
23,30,100,1.057979e+03
23,30,1,1.340322e+03
23,30,2,1.340322e+03
23,30,3,1.340322e+03
23,30,5,1.291833e+03
23,30,10,1.253347e+03
23,30,20,1.179745e+03
23,30,30,1.147452e+03
23,30,40,1.108326e+03
23,30,50,1.086544e+03
23,30,60,1.070111e+03
23,30,70,1.051754e+03
23,30,80,1.049166e+03
23,30,90,1.049166e+03
23,30,100,1.048489e+03
23,30,1,1.241754e+03
23,30,2,1.228516e+03
23,30,3,1.210135e+03
23,30,5,1.163077e+03
23,30,10,1.093977e+03
23,30,20,1.069183e+03
23,30,30,1.051143e+03
23,30,40,1.044193e+03
23,30,50,1.029493e+03
23,30,60,1.012835e+03
23,30,70,1.002053e+03
23,30,80,9.930537e+02
23,30,90,9.925365e+02
23,30,100,9.925365e+02
23,30,1,1.305152e+03
23,30,2,1.305152e+03
23,30,3,1.284082e+03
23,30,5,1.284082e+03
23,30,10,1.147366e+03
23,30,20,1.050621e+03
23,30,30,9.794677e+02
23,30,40,9.514979e+02
23,30,50,9.496689e+02
23,30,60,9.468451e+02
23,30,70,9.464105e+02
23,30,80,9.449033e+02
23,30,90,9.449033e+02
23,30,100,9.399842e+02
23,30,1,1.174057e+03
23,30,2,1.166154e+03
23,30,3,1.131421e+03
23,30,5,1.131421e+03
23,30,10,1.131421e+03
23,30,20,1.131421e+03
23,30,30,1.127231e+03
23,30,40,1.085436e+03
23,30,50,1.075588e+03
23,30,60,1.067978e+03
23,30,70,1.059708e+03
23,30,80,1.059708e+03
23,30,90,1.050860e+03
23,30,100,1.038089e+03
23,30,1,1.373355e+03
23,30,2,1.368896e+03
23,30,3,1.355460e+03
23,30,5,1.251345e+03
23,30,10,1.092354e+03
23,30,20,1.051972e+03
23,30,30,9.946938e+02
23,30,40,9.864992e+02
23,30,50,9.809731e+02
23,30,60,9.718224e+02
23,30,70,9.468169e+02
23,30,80,9.395534e+02
23,30,90,9.278002e+02
23,30,100,9.278002e+02
