funcid,dim,milestone,error
24,30,1,1.371721e+03
24,30,2,1.364202e+03
24,30,3,1.294582e+03
24,30,5,1.264352e+03
24,30,10,1.226338e+03
24,30,20,1.160133e+03
24,30,30,1.079477e+03
24,30,40,1.046966e+03
24,30,50,1.010893e+03
24,30,60,1.001382e+03
24,30,70,4.202981e+02
24,30,80,3.308229e+02
24,30,90,2.695990e+02
24,30,100,2.396374e+02
24,30,1,1.319220e+03
24,30,2,1.245850e+03
24,30,3,1.208111e+03
24,30,5,1.195960e+03
24,30,10,1.172454e+03
24,30,20,1.122644e+03
24,30,30,1.055798e+03
24,30,40,1.042241e+03
24,30,50,1.017740e+03
24,30,60,9.408838e+02
24,30,70,7.228153e+02
24,30,80,5.723665e+02
24,30,90,4.984878e+02
24,30,100,4.411985e+02
24,30,1,1.575951e+03
24,30,2,1.485413e+03
24,30,3,1.325159e+03
24,30,5,1.298521e+03
24,30,10,1.256979e+03
24,30,20,1.203544e+03
24,30,30,1.151629e+03
24,30,40,1.110826e+03
24,30,50,1.101810e+03
24,30,60,1.013675e+03
24,30,70,4.971483e+02
24,30,80,3.477407e+02
24,30,90,2.820997e+02
24,30,100,2.352888e+02
24,30,1,1.395808e+03
24,30,2,1.395808e+03
24,30,3,1.395808e+03
24,30,5,1.395808e+03
24,30,10,1.395808e+03
24,30,20,1.251287e+03
24,30,30,1.195460e+03
24,30,40,8.429567e+02
24,30,50,7.146927e+02
24,30,60,5.014778e+02
24,30,70,3.909936e+02
24,30,80,3.236474e+02
24,30,90,2.696070e+02
24,30,100,2.284122e+02
24,30,1,1.456853e+03
24,30,2,1.446217e+03
24,30,3,1.433178e+03
24,30,5,1.409442e+03
24,30,10,1.334838e+03
24,30,20,1.208290e+03
24,30,30,1.132829e+03
24,30,40,7.634531e+02
24,30,50,5.779474e+02
24,30,60,4.278580e+02
24,30,70,3.811699e+02
24,30,80,2.951144e+02
24,30,90,2.435362e+02
24,30,100,2.183322e+02
24,30,1,1.236231e+03
24,30,2,1.219440e+03
24,30,3,1.191453e+03
24,30,5,1.175432e+03
24,30,10,1.142487e+03
24,30,20,1.072118e+03
24,30,30,1.032438e+03
24,30,40,1.005520e+03
24,30,50,7.998594e+02
24,30,60,6.011494e+02
24,30,70,3.417501e+02
24,30,80,2.502102e+02
24,30,90,2.248738e+02
24,30,100,2.166595e+02
24,30,1,1.289162e+03
24,30,2,1.270253e+03
24,30,3,1.250925e+03
24,30,5,1.230865e+03
24,30,10,1.125174e+03
24,30,20,1.088675e+03
24,30,30,1.035070e+03
24,30,40,1.004318e+03
24,30,50,9.194460e+02
24,30,60,5.932369e+02
24,30,70,4.074974e+02
24,30,80,2.622412e+02
24,30,90,2.334831e+02
24,30,100,2.209367e+02
24,30,1,1.555216e+03
24,30,2,1.497333e+03
24,30,3,1.420100e+03
24,30,5,1.383288e+03
24,30,10,1.281555e+03
24,30,20,1.213254e+03
24,30,30,1.085760e+03
24,30,40,9.574912e+02
24,30,50,6.868725e+02
24,30,60,5.607152e+02
24,30,70,4.184046e+02
24,30,80,3.550594e+02
24,30,90,3.190180e+02
24,30,100,3.014364e+02
24,30,1,1.583963e+03
24,30,2,1.563193e+03
24,30,3,1.466418e+03
24,30,5,1.448119e+03
24,30,10,1.406511e+03
24,30,20,1.320950e+03
24,30,30,1.255373e+03
24,30,40,1.232064e+03
24,30,50,1.216804e+03
24,30,60,7.402547e+02
24,30,70,6.255116e+02
24,30,80,5.476461e+02
24,30,90,4.859758e+02
24,30,100,4.274699e+02
24,30,1,1.310622e+03
24,30,2,1.305422e+03
24,30,3,1.179855e+03
24,30,5,1.166791e+03
24,30,10,1.110415e+03
24,30,20,1.076305e+03
24,30,30,1.035614e+03
24,30,40,1.000609e+03
24,30,50,9.875347e+02
24,30,60,5.991681e+02
24,30,70,4.536562e+02
24,30,80,3.854442e+02
24,30,90,3.405261e+02
24,30,100,3.044665e+02
