funcid,dim,milestone,error
6,10,1,6.045635e+01
6,10,2,6.045635e+01
6,10,3,6.045635e+01
6,10,5,5.962202e+01
6,10,10,5.757977e+01
6,10,20,3.820392e+01
6,10,30,2.857812e+01
6,10,40,2.857812e+01
6,10,50,2.857812e+01
6,10,60,2.857812e+01
6,10,70,2.857812e+01
6,10,80,2.857812e+01
6,10,90,2.857812e+01
6,10,100,2.857812e+01
6,10,1,7.314279e+01
6,10,2,7.007711e+01
6,10,3,6.897735e+01
6,10,5,6.624152e+01
6,10,10,6.160876e+01
6,10,20,5.160005e+01
6,10,30,2.986402e+01
6,10,40,2.795133e+01
6,10,50,2.165217e+01
6,10,60,2.165217e+01
6,10,70,2.130117e+01
6,10,80,2.130117e+01
6,10,90,2.130117e+01
6,10,100,1.382115e+01
6,10,1,5.517993e+01
6,10,2,5.517993e+01
6,10,3,5.084751e+01
6,10,5,5.084751e+01
6,10,10,3.712964e+01
6,10,20,3.594614e+01
6,10,30,2.812377e+01
6,10,40,2.812377e+01
6,10,50,2.632707e+01
6,10,60,2.632707e+01
6,10,70,2.411572e+01
6,10,80,2.328158e+01
6,10,90,2.328158e+01
6,10,100,2.328158e+01
6,10,1,6.901031e+01
6,10,2,5.243852e+01
6,10,3,4.659831e+01
6,10,5,3.913519e+01
6,10,10,2.854737e+01
6,10,20,2.670232e+01
6,10,30,2.213067e+01
6,10,40,1.735613e+01
6,10,50,1.493402e+01
6,10,60,1.493402e+01
6,10,70,1.493402e+01
6,10,80,1.443716e+01
6,10,90,9.007937e+00
6,10,100,9.007937e+00
6,10,1,6.035370e+01
6,10,2,6.035370e+01
6,10,3,6.035370e+01
6,10,5,6.035370e+01
6,10,10,6.035370e+01
6,10,20,4.809647e+01
6,10,30,2.909852e+01
6,10,40,2.359014e+01
6,10,50,1.550248e+01
6,10,60,1.257770e+01
6,10,70,1.257770e+01
6,10,80,1.257770e+01
6,10,90,1.257770e+01
6,10,100,1.257770e+01
6,10,1,8.307033e+01
6,10,2,7.622491e+01
6,10,3,7.067759e+01
6,10,5,7.067759e+01
6,10,10,4.593155e+01
6,10,20,4.560176e+01
6,10,30,4.297210e+01
6,10,40,1.846751e+01
6,10,50,1.359640e+01
6,10,60,9.615381e+00
6,10,70,9.615381e+00
6,10,80,9.615381e+00
6,10,90,9.615381e+00
6,10,100,9.615381e+00
6,10,1,6.869165e+01
6,10,2,6.869165e+01
6,10,3,6.869165e+01
6,10,5,6.809123e+01
6,10,10,5.642299e+01
6,10,20,3.308381e+01
6,10,30,2.220298e+01
6,10,40,2.220298e+01
6,10,50,2.220298e+01
6,10,60,2.220298e+01
6,10,70,1.778303e+01
6,10,80,1.778303e+01
6,10,90,1.545150e+01
6,10,100,1.516319e+01
6,10,1,6.798865e+01
6,10,2,6.480157e+01
6,10,3,6.480157e+01
6,10,5,5.416954e+01
6,10,10,4.468272e+01
6,10,20,1.988300e+01
6,10,30,1.879656e+01
6,10,40,1.424818e+01
6,10,50,1.424818e+01
6,10,60,1.424818e+01
6,10,70,1.424818e+01
6,10,80,1.251633e+01
6,10,90,8.538405e+00
6,10,100,8.538405e+00
6,10,1,7.235160e+01
6,10,2,7.073644e+01
6,10,3,6.438686e+01
6,10,5,5.485897e+01
6,10,10,3.889062e+01
6,10,20,3.488143e+01
6,10,30,2.627117e+01
6,10,40,2.496995e+01
6,10,50,2.221219e+01
6,10,60,1.341159e+01
6,10,70,1.341159e+01
6,10,80,1.341159e+01
6,10,90,1.341159e+01
6,10,100,1.341159e+01
6,10,1,5.235836e+01
6,10,2,4.809945e+01
6,10,3,4.809945e+01
6,10,5,3.949217e+01
6,10,10,2.184612e+01
6,10,20,2.184612e+01
6,10,30,1.591951e+01
6,10,40,1.406961e+01
6,10,50,1.406961e+01
6,10,60,1.406961e+01
6,10,70,1.406961e+01
6,10,80,1.406961e+01
6,10,90,1.406961e+01
6,10,100,1.406961e+01
