funcid,dim,milestone,error
6,30,1,1.107006e+02
6,30,2,1.073877e+02
6,30,3,1.073877e+02
6,30,5,1.073877e+02
6,30,10,9.663052e+01
6,30,20,9.326699e+01
6,30,30,9.240268e+01
6,30,40,8.800883e+01
6,30,50,8.271762e+01
6,30,60,7.957363e+01
6,30,70,7.831885e+01
6,30,80,7.780383e+01
6,30,90,7.761081e+01
6,30,100,7.752753e+01
6,30,1,9.654813e+01
6,30,2,8.842194e+01
6,30,3,8.329947e+01
6,30,5,8.329947e+01
6,30,10,6.812202e+01
6,30,20,6.368676e+01
6,30,30,6.345680e+01
6,30,40,6.291226e+01
6,30,50,6.291226e+01
6,30,60,6.291226e+01
6,30,70,6.291226e+01
6,30,80,6.277001e+01
6,30,90,6.242908e+01
6,30,100,5.963681e+01
6,30,1,1.011367e+02
6,30,2,1.011367e+02
6,30,3,1.011367e+02
6,30,5,1.011367e+02
6,30,10,9.730542e+01
6,30,20,9.650929e+01
6,30,30,9.044272e+01
6,30,40,8.694655e+01
6,30,50,8.595846e+01
6,30,60,8.531038e+01
6,30,70,8.493338e+01
6,30,80,8.475891e+01
6,30,90,8.468223e+01
6,30,100,8.465820e+01
6,30,1,1.137458e+02
6,30,2,1.127097e+02
6,30,3,9.432526e+01
6,30,5,9.432526e+01
6,30,10,9.432526e+01
6,30,20,9.432526e+01
6,30,30,9.217048e+01
6,30,40,9.191039e+01
6,30,50,9.071519e+01
6,30,60,8.922454e+01
6,30,70,8.869282e+01
6,30,80,8.731874e+01
6,30,90,8.625228e+01
6,30,100,8.144892e+01
6,30,1,9.840780e+01
6,30,2,9.724678e+01
6,30,3,9.543596e+01
6,30,5,8.709384e+01
6,30,10,8.560204e+01
6,30,20,7.259312e+01
6,30,30,6.826235e+01
6,30,40,6.690765e+01
6,30,50,6.650506e+01
6,30,60,6.631598e+01
6,30,70,6.611394e+01
6,30,80,6.595298e+01
6,30,90,6.586381e+01
6,30,100,6.576647e+01
6,30,1,1.033597e+02
6,30,2,1.033597e+02
6,30,3,1.033597e+02
6,30,5,1.011413e+02
6,30,10,9.332163e+01
6,30,20,8.397257e+01
6,30,30,7.783668e+01
6,30,40,7.773339e+01
6,30,50,7.720500e+01
6,30,60,7.672745e+01
6,30,70,7.672745e+01
6,30,80,7.603589e+01
6,30,90,7.603589e+01
6,30,100,7.599805e+01
6,30,1,1.081904e+02
6,30,2,9.323217e+01
6,30,3,9.323217e+01
6,30,5,9.323217e+01
6,30,10,9.050673e+01
6,30,20,7.957278e+01
6,30,30,7.724915e+01
6,30,40,7.388082e+01
6,30,50,7.219551e+01
6,30,60,7.147498e+01
6,30,70,7.121242e+01
6,30,80,7.098702e+01
6,30,90,7.070229e+01
6,30,100,7.060003e+01
6,30,1,1.115073e+02
6,30,2,1.055134e+02
6,30,3,1.055134e+02
6,30,5,9.931258e+01
6,30,10,8.353396e+01
6,30,20,8.353396e+01
6,30,30,8.353396e+01
6,30,40,8.160681e+01
6,30,50,7.918258e+01
6,30,60,7.800187e+01
6,30,70,7.759505e+01
6,30,80,7.739083e+01
6,30,90,7.731043e+01
6,30,100,7.522300e+01
6,30,1,1.120925e+02
6,30,2,1.072388e+02
6,30,3,1.055474e+02
6,30,5,9.863571e+01
6,30,10,8.432853e+01
6,30,20,7.582158e+01
6,30,30,7.275375e+01
6,30,40,7.175408e+01
6,30,50,7.156309e+01
6,30,60,7.150065e+01
6,30,70,7.148397e+01
6,30,80,7.147903e+01
6,30,90,7.147741e+01
6,30,100,7.147702e+01
6,30,1,1.065839e+02
6,30,2,1.051906e+02
6,30,3,1.019780e+02
6,30,5,9.556507e+01
6,30,10,9.556507e+01
6,30,20,9.556507e+01
6,30,30,9.053318e+01
6,30,40,8.860113e+01
6,30,50,8.860113e+01
6,30,60,8.860113e+01
6,30,70,8.704131e+01
6,30,80,8.704131e+01
6,30,90,8.598199e+01
6,30,100,8.448382e+01
