funcid,dim,milestone,error
12,30,1,1.430644e+10
12,30,2,1.157403e+10
12,30,3,7.918451e+09
12,30,5,1.090488e+09
12,30,10,5.078606e+07
12,30,20,3.195735e+07
12,30,30,3.105480e+07
12,30,40,3.105480e+07
12,30,50,2.902784e+07
12,30,60,2.815534e+07
12,30,70,2.613678e+07
12,30,80,1.400956e+07
12,30,90,1.400956e+07
12,30,100,1.400956e+07
12,30,1,1.849367e+10
12,30,2,1.486921e+10
12,30,3,9.604843e+09
12,30,5,1.933937e+09
12,30,10,1.354695e+08
12,30,20,2.643070e+07
12,30,30,1.627325e+07
12,30,40,1.581028e+07
12,30,50,1.580386e+07
12,30,60,1.580382e+07
12,30,70,1.580382e+07
12,30,80,1.580382e+07
12,30,90,1.580382e+07
12,30,100,1.580382e+07
12,30,1,1.509521e+10
12,30,2,1.462677e+10
12,30,3,9.767355e+09
12,30,5,3.090709e+09
12,30,10,8.077965e+07
12,30,20,2.322536e+07
12,30,30,2.228011e+07
12,30,40,2.227793e+07
12,30,50,2.227792e+07
12,30,60,2.227792e+07
12,30,70,2.227792e+07
12,30,80,2.227792e+07
12,30,90,2.227792e+07
12,30,100,2.227792e+07
12,30,1,1.659040e+10
12,30,2,8.919217e+09
12,30,3,7.985592e+09
12,30,5,3.815969e+09
12,30,10,1.039734e+08
12,30,20,7.169977e+07
12,30,30,4.971874e+07
12,30,40,3.198062e+07
12,30,50,3.198062e+07
12,30,60,3.198062e+07
12,30,70,1.881299e+07
12,30,80,1.694305e+07
12,30,90,1.694305e+07
12,30,100,1.685611e+07
12,30,1,1.171603e+10
12,30,2,9.440503e+09
12,30,3,7.691645e+09
12,30,5,1.645189e+09
12,30,10,1.028353e+08
12,30,20,6.629222e+07
12,30,30,2.689167e+07
12,30,40,1.936779e+07
12,30,50,1.914262e+07
12,30,60,1.914026e+07
12,30,70,1.914023e+07
12,30,80,1.914023e+07
12,30,90,1.830628e+07
12,30,100,1.830628e+07
12,30,1,1.080197e+10
12,30,2,1.080197e+10
12,30,3,8.107116e+09
12,30,5,2.479284e+09
12,30,10,1.537536e+08
12,30,20,8.164903e+06
12,30,30,6.188231e+06
12,30,40,6.035087e+06
12,30,50,4.303555e+06
12,30,60,3.955266e+06
12,30,70,3.931171e+06
12,30,80,3.338074e+06
12,30,90,3.115142e+06
12,30,100,2.949365e+06
12,30,1,1.323859e+10
12,30,2,1.124992e+10
12,30,3,6.014949e+09
12,30,5,1.347625e+09
12,30,10,1.436986e+08
12,30,20,5.361050e+07
12,30,30,9.870829e+06
12,30,40,7.897917e+06
12,30,50,7.881885e+06
12,30,60,7.881813e+06
12,30,70,7.881812e+06
12,30,80,7.881812e+06
12,30,90,7.881812e+06
12,30,100,7.881812e+06
12,30,1,1.777375e+10
12,30,2,1.131770e+10
12,30,3,3.104675e+09
12,30,5,6.779098e+08
12,30,10,9.549368e+07
12,30,20,2.662213e+07
12,30,30,2.120693e+07
12,30,40,2.117695e+07
12,30,50,2.117687e+07
12,30,60,2.117687e+07
12,30,70,2.117687e+07
12,30,80,2.117687e+07
12,30,90,2.117687e+07
12,30,100,2.117687e+07
12,30,1,1.410358e+10
12,30,2,1.317845e+10
12,30,3,4.940048e+09
12,30,5,9.861788e+08
12,30,10,2.160048e+08
12,30,20,5.857317e+07
12,30,30,5.542499e+07
12,30,40,5.399688e+07
12,30,50,4.922475e+07
12,30,60,4.428414e+07
12,30,70,4.325395e+07
12,30,80,4.028991e+07
12,30,90,3.980196e+07
12,30,100,3.360561e+07
12,30,1,1.672700e+10
12,30,2,1.400558e+10
12,30,3,1.018128e+10
12,30,5,2.421950e+09
12,30,10,1.625148e+08
12,30,20,2.651521e+07
12,30,30,1.543289e+07
12,30,40,1.050745e+07
12,30,50,7.054656e+06
12,30,60,5.399196e+06
12,30,70,4.926895e+06
12,30,80,4.918159e+06
12,30,90,4.918079e+06
12,30,100,4.918078e+06
