funcid,dim,milestone,error
9,30,1,2.445733e+04
9,30,2,2.365159e+04
9,30,3,2.239736e+04
9,30,5,2.127368e+04
9,30,10,1.621116e+04
9,30,20,1.155375e+04
9,30,30,1.034289e+04
9,30,40,9.957548e+03
9,30,50,9.828929e+03
9,30,60,9.800380e+03
9,30,70,9.787692e+03
9,30,80,9.783920e+03
9,30,90,9.782807e+03
9,30,100,9.782559e+03
9,30,1,2.291323e+04
9,30,2,2.281319e+04
9,30,3,2.281319e+04
9,30,5,2.090688e+04
9,30,10,1.306890e+04
9,30,20,1.159544e+04
9,30,30,1.126657e+04
9,30,40,1.126657e+04
9,30,50,1.084036e+04
9,30,60,1.044143e+04
9,30,70,1.036901e+04
9,30,80,1.025278e+04
9,30,90,1.025278e+04
9,30,100,1.024699e+04
9,30,1,2.107211e+04
9,30,2,1.990757e+04
9,30,3,1.990757e+04
9,30,5,1.960283e+04
9,30,10,1.580435e+04
9,30,20,1.235827e+04
9,30,30,1.080148e+04
9,30,40,1.012235e+04
9,30,50,9.846509e+03
9,30,60,9.719417e+03
9,30,70,9.674237e+03
9,30,80,9.657740e+03
9,30,90,9.654052e+03
9,30,100,9.653106e+03
9,30,1,1.923184e+04
9,30,2,1.753562e+04
9,30,3,1.521841e+04
9,30,5,1.521841e+04
9,30,10,1.318362e+04
9,30,20,1.318362e+04
9,30,30,1.262112e+04
9,30,40,1.210511e+04
9,30,50,1.198877e+04
9,30,60,1.192061e+04
9,30,70,1.189998e+04
9,30,80,1.189289e+04
9,30,90,1.189116e+04
9,30,100,1.189042e+04
9,30,1,2.130987e+04
9,30,2,2.130987e+04
9,30,3,2.130987e+04
9,30,5,2.130987e+04
9,30,10,1.920201e+04
9,30,20,1.498618e+04
9,30,30,1.384426e+04
9,30,40,1.343301e+04
9,30,50,1.326469e+04
9,30,60,1.260690e+04
9,30,70,1.220769e+04
9,30,80,1.176011e+04
9,30,90,1.157516e+04
9,30,100,1.143383e+04
9,30,1,1.877686e+04
9,30,2,1.877686e+04
9,30,3,1.877686e+04
9,30,5,1.877686e+04
9,30,10,1.532261e+04
9,30,20,1.197678e+04
9,30,30,1.136484e+04
9,30,40,1.136484e+04
9,30,50,1.136484e+04
9,30,60,1.136484e+04
9,30,70,1.136484e+04
9,30,80,1.136484e+04
9,30,90,1.136484e+04
9,30,100,1.136484e+04
9,30,1,2.274159e+04
9,30,2,1.622054e+04
9,30,3,1.504474e+04
9,30,5,1.267768e+04
9,30,10,1.143523e+04
9,30,20,8.919374e+03
9,30,30,8.729661e+03
9,30,40,8.543964e+03
9,30,50,8.543964e+03
9,30,60,8.460413e+03
9,30,70,8.306526e+03
9,30,80,8.306526e+03
9,30,90,8.306526e+03
9,30,100,8.306526e+03
9,30,1,2.233699e+04
9,30,2,2.083686e+04
9,30,3,1.817545e+04
9,30,5,1.530770e+04
9,30,10,1.435157e+04
9,30,20,1.411666e+04
9,30,30,1.383137e+04
9,30,40,1.340006e+04
9,30,50,1.333101e+04
9,30,60,1.327523e+04
9,30,70,1.278579e+04
9,30,80,1.278579e+04
9,30,90,1.262468e+04
9,30,100,1.262468e+04
9,30,1,1.983323e+04
9,30,2,1.983323e+04
9,30,3,1.983323e+04
9,30,5,1.983323e+04
9,30,10,1.860163e+04
9,30,20,1.380256e+04
9,30,30,1.177234e+04
9,30,40,1.142983e+04
9,30,50,1.135588e+04
9,30,60,1.132439e+04
9,30,70,1.131512e+04
9,30,80,1.131247e+04
9,30,90,1.131166e+04
9,30,100,1.131138e+04
9,30,1,2.410221e+04
9,30,2,1.786889e+04
9,30,3,1.786889e+04
9,30,5,1.786889e+04
9,30,10,1.786889e+04
9,30,20,1.720729e+04
9,30,30,1.625906e+04
9,30,40,1.501641e+04
9,30,50,1.386184e+04
9,30,60,1.219835e+04
9,30,70,1.219344e+04
9,30,80,1.181356e+04
9,30,90,1.164064e+04
9,30,100,1.116421e+04
