funcid,dim,milestone,error
16,30,1,4.387488e+03
16,30,2,3.492765e+03
16,30,3,2.913266e+03
16,30,5,2.627168e+03
16,30,10,1.805774e+03
16,30,20,1.805774e+03
16,30,30,1.805774e+03
16,30,40,1.805774e+03
16,30,50,1.805774e+03
16,30,60,1.594922e+03
16,30,70,1.469463e+03
16,30,80,1.396870e+03
16,30,90,1.384700e+03
16,30,100,1.382986e+03
16,30,1,5.048596e+03
16,30,2,3.341447e+03
16,30,3,2.965975e+03
16,30,5,2.965975e+03
16,30,10,2.667988e+03
16,30,20,2.147085e+03
16,30,30,1.992878e+03
16,30,40,1.764517e+03
16,30,50,1.764517e+03
16,30,60,1.662815e+03
16,30,70,1.241217e+03
16,30,80,1.241217e+03
16,30,90,1.198424e+03
16,30,100,1.046764e+03
16,30,1,4.137457e+03
16,30,2,3.987924e+03
16,30,3,3.982856e+03
16,30,5,3.287475e+03
16,30,10,2.107503e+03
16,30,20,2.092734e+03
16,30,30,2.082930e+03
16,30,40,1.904797e+03
16,30,50,1.823764e+03
16,30,60,1.714953e+03
16,30,70,1.709054e+03
16,30,80,1.632472e+03
16,30,90,1.632472e+03
16,30,100,1.632472e+03
16,30,1,4.479897e+03
16,30,2,3.943278e+03
16,30,3,3.871489e+03
16,30,5,2.604616e+03
16,30,10,2.577631e+03
16,30,20,2.182929e+03
16,30,30,1.920643e+03
16,30,40,1.811465e+03
16,30,50,1.597976e+03
16,30,60,1.542177e+03
16,30,70,1.481446e+03
16,30,80,1.449935e+03
16,30,90,1.449935e+03
16,30,100,1.449935e+03
16,30,1,4.031217e+03
16,30,2,4.016981e+03
16,30,3,3.224220e+03
16,30,5,3.044154e+03
16,30,10,2.862869e+03
16,30,20,1.811349e+03
16,30,30,1.811349e+03
16,30,40,1.811349e+03
16,30,50,1.811349e+03
16,30,60,1.811349e+03
16,30,70,1.614469e+03
16,30,80,1.614469e+03
16,30,90,1.614469e+03
16,30,100,1.614469e+03
16,30,1,4.427376e+03
16,30,2,4.385671e+03
16,30,3,4.320426e+03
16,30,5,3.644235e+03
16,30,10,2.590110e+03
16,30,20,1.823535e+03
16,30,30,1.823535e+03
16,30,40,1.582293e+03
16,30,50,1.582293e+03
16,30,60,1.582293e+03
16,30,70,1.582293e+03
16,30,80,1.582293e+03
16,30,90,1.582293e+03
16,30,100,1.570438e+03
16,30,1,5.305787e+03
16,30,2,4.848298e+03
16,30,3,4.109881e+03
16,30,5,3.387782e+03
16,30,10,2.265549e+03
16,30,20,1.678433e+03
16,30,30,1.345846e+03
16,30,40,1.248026e+03
16,30,50,1.154127e+03
16,30,60,1.154127e+03
16,30,70,1.021109e+03
16,30,80,1.021109e+03
16,30,90,1.021109e+03
16,30,100,1.021109e+03
16,30,1,4.230748e+03
16,30,2,3.457306e+03
16,30,3,3.457306e+03
16,30,5,2.785292e+03
16,30,10,2.086836e+03
16,30,20,1.703942e+03
16,30,30,1.703942e+03
16,30,40,1.687362e+03
16,30,50,1.549174e+03
16,30,60,1.476537e+03
16,30,70,1.464650e+03
16,30,80,1.462304e+03
16,30,90,1.462012e+03
16,30,100,1.415267e+03
16,30,1,3.756498e+03
16,30,2,3.756498e+03
16,30,3,3.756498e+03
16,30,5,3.650334e+03
16,30,10,2.847281e+03
16,30,20,1.778937e+03
16,30,30,1.688748e+03
16,30,40,1.688748e+03
16,30,50,1.688748e+03
16,30,60,1.688748e+03
16,30,70,1.127398e+03
16,30,80,1.127398e+03
16,30,90,1.127398e+03
16,30,100,1.127398e+03
16,30,1,3.620290e+03
16,30,2,3.413356e+03
16,30,3,2.969434e+03
16,30,5,2.219458e+03
16,30,10,2.219458e+03
16,30,20,2.219458e+03
16,30,30,1.890700e+03
16,30,40,1.631290e+03
16,30,50,1.631290e+03
16,30,60,1.631290e+03
16,30,70,1.631290e+03
16,30,80,1.416207e+03
16,30,90,1.416207e+03
16,30,100,1.416207e+03
