funcid,dim,milestone,error
12,10,1,2.452922e+08
12,10,2,1.142778e+08
12,10,3,1.142778e+08
12,10,5,2.867389e+07
12,10,10,2.695392e+06
12,10,20,1.172905e+06
12,10,30,7.349300e+05
12,10,40,3.648335e+05
12,10,50,3.648335e+05
12,10,60,3.648335e+05
12,10,70,3.648335e+05
12,10,80,3.648335e+05
12,10,90,3.648335e+05
12,10,100,3.648335e+05
12,10,1,6.849371e+08
12,10,2,4.176988e+08
12,10,3,9.474360e+07
12,10,5,4.782730e+07
12,10,10,9.168098e+06
12,10,20,2.639545e+06
12,10,30,1.920750e+06
12,10,40,6.750789e+05
12,10,50,5.403131e+05
12,10,60,5.403131e+05
12,10,70,5.142149e+05
12,10,80,1.475363e+04
12,10,90,9.965062e+03
12,10,100,9.569049e+03
12,10,1,1.963593e+08
12,10,2,1.168101e+08
12,10,3,6.655649e+07
12,10,5,8.587166e+06
12,10,10,8.587166e+06
12,10,20,2.715842e+06
12,10,30,1.456090e+06
12,10,40,3.466311e+05
12,10,50,3.466311e+05
12,10,60,7.884393e+04
12,10,70,2.957817e+04
12,10,80,2.752081e+04
12,10,90,2.752081e+04
12,10,100,2.634289e+04
12,10,1,7.684911e+08
12,10,2,2.088801e+08
12,10,3,6.894446e+07
12,10,5,1.590555e+07
12,10,10,4.639689e+06
12,10,20,2.432526e+06
12,10,30,1.015781e+06
12,10,40,8.722120e+05
12,10,50,3.361774e+05
12,10,60,3.018733e+05
12,10,70,3.018733e+05
12,10,80,3.018733e+05
12,10,90,2.275934e+05
12,10,100,2.275934e+05
12,10,1,2.664973e+08
12,10,2,2.112415e+08
12,10,3,4.826896e+07
12,10,5,3.436203e+07
12,10,10,1.111346e+07
12,10,20,1.486914e+06
12,10,30,6.709235e+05
12,10,40,1.865054e+05
12,10,50,1.487170e+05
12,10,60,4.948299e+04
12,10,70,4.948299e+04
12,10,80,4.297888e+04
12,10,90,4.297888e+04
12,10,100,4.297888e+04
12,10,1,6.572768e+08
12,10,2,5.970972e+07
12,10,3,5.970972e+07
12,10,5,3.439113e+07
12,10,10,4.672364e+06
12,10,20,1.488916e+06
12,10,30,1.151670e+06
12,10,40,1.837037e+05
12,10,50,1.837037e+05
12,10,60,1.507619e+05
12,10,70,9.160790e+04
12,10,80,9.160790e+04
12,10,90,9.160790e+04
12,10,100,9.160790e+04
12,10,1,3.407761e+08
12,10,2,1.111113e+08
12,10,3,6.685444e+07
12,10,5,5.399568e+07
12,10,10,1.281136e+07
12,10,20,1.063758e+06
12,10,30,1.063758e+06
12,10,40,4.503817e+05
12,10,50,4.503817e+05
12,10,60,8.193634e+04
12,10,70,6.286857e+04
12,10,80,6.060326e+04
12,10,90,5.710680e+04
12,10,100,5.710680e+04
12,10,1,2.656098e+08
12,10,2,7.626960e+07
12,10,3,1.632418e+07
12,10,5,1.632418e+07
12,10,10,6.203307e+06
12,10,20,4.158442e+05
12,10,30,4.158442e+05
12,10,40,4.158442e+05
12,10,50,4.158442e+05
12,10,60,3.817368e+05
12,10,70,3.528137e+05
12,10,80,3.342354e+05
12,10,90,3.203653e+05
12,10,100,3.203653e+05
12,10,1,3.641668e+08
12,10,2,2.234465e+08
12,10,3,9.347004e+07
12,10,5,2.000763e+07
12,10,10,4.090032e+06
12,10,20,1.795311e+06
12,10,30,3.864239e+05
12,10,40,6.250252e+04
12,10,50,6.250252e+04
12,10,60,6.250252e+04
12,10,70,6.250252e+04
12,10,80,6.250252e+04
12,10,90,6.250252e+04
12,10,100,6.250252e+04
12,10,1,6.695042e+08
12,10,2,2.022701e+08
12,10,3,8.128688e+07
12,10,5,3.549675e+07
12,10,10,1.534716e+07
12,10,20,1.170375e+06
12,10,30,8.066406e+05
12,10,40,5.249845e+04
12,10,50,3.883700e+04
12,10,60,3.883700e+04
12,10,70,3.883700e+04
12,10,80,3.883700e+04
12,10,90,3.883700e+04
12,10,100,3.883700e+04
