funcid,dim,milestone,error
29,30,1,6.647729e+03
29,30,2,4.455166e+03
29,30,3,3.472787e+03
29,30,5,3.472787e+03
29,30,10,3.150453e+03
29,30,20,2.199873e+03
29,30,30,2.057201e+03
29,30,40,2.056546e+03
29,30,50,2.003429e+03
29,30,60,1.964035e+03
29,30,70,1.962476e+03
29,30,80,1.961926e+03
29,30,90,1.957714e+03
29,30,100,1.956937e+03
29,30,1,3.659788e+03
29,30,2,3.659788e+03
29,30,3,3.659788e+03
29,30,5,3.486476e+03
29,30,10,2.335382e+03
29,30,20,2.198281e+03
29,30,30,2.198281e+03
29,30,40,2.198281e+03
29,30,50,2.198281e+03
29,30,60,2.198281e+03
29,30,70,2.158587e+03
29,30,80,2.121644e+03
29,30,90,1.945163e+03
29,30,100,1.944956e+03
29,30,1,3.302681e+03
29,30,2,2.956365e+03
29,30,3,2.760935e+03
29,30,5,2.639783e+03
29,30,10,2.253185e+03
29,30,20,1.890616e+03
29,30,30,1.833514e+03
29,30,40,1.676378e+03
29,30,50,1.673876e+03
29,30,60,1.671753e+03
29,30,70,1.670460e+03
29,30,80,1.669806e+03
29,30,90,1.669229e+03
29,30,100,1.668694e+03
29,30,1,3.768560e+03
29,30,2,3.704506e+03
29,30,3,3.449604e+03
29,30,5,3.100042e+03
29,30,10,2.364550e+03
29,30,20,1.431878e+03
29,30,30,1.349874e+03
29,30,40,1.344087e+03
29,30,50,1.341450e+03
29,30,60,1.341139e+03
29,30,70,1.336993e+03
29,30,80,1.336938e+03
29,30,90,1.336627e+03
29,30,100,1.336626e+03
29,30,1,4.487242e+03
29,30,2,4.487242e+03
29,30,3,3.503471e+03
29,30,5,3.434638e+03
29,30,10,2.291554e+03
29,30,20,2.036964e+03
29,30,30,1.992165e+03
29,30,40,1.760202e+03
29,30,50,1.671405e+03
29,30,60,1.611224e+03
29,30,70,1.600240e+03
29,30,80,1.600182e+03
29,30,90,1.600182e+03
29,30,100,1.599830e+03
29,30,1,3.719478e+03
29,30,2,3.569621e+03
29,30,3,2.725080e+03
29,30,5,2.575173e+03
29,30,10,2.370779e+03
29,30,20,2.129958e+03
29,30,30,2.007221e+03
29,30,40,1.986855e+03
29,30,50,1.986609e+03
29,30,60,1.986604e+03
29,30,70,1.974497e+03
29,30,80,1.906403e+03
29,30,90,1.417092e+03
29,30,100,1.408224e+03
29,30,1,6.002638e+03
29,30,2,4.781665e+03
29,30,3,4.022535e+03
29,30,5,2.833620e+03
29,30,10,2.621924e+03
29,30,20,2.263343e+03
29,30,30,1.988646e+03
29,30,40,1.707220e+03
29,30,50,1.687698e+03
29,30,60,1.679532e+03
29,30,70,1.678641e+03
29,30,80,1.678605e+03
29,30,90,1.648974e+03
29,30,100,1.567447e+03
29,30,1,3.688364e+03
29,30,2,3.379368e+03
29,30,3,3.379368e+03
29,30,5,3.206350e+03
29,30,10,3.002766e+03
29,30,20,2.337406e+03
29,30,30,2.223260e+03
29,30,40,1.977935e+03
29,30,50,1.927234e+03
29,30,60,1.806892e+03
29,30,70,1.802940e+03
29,30,80,1.798267e+03
29,30,90,1.771467e+03
29,30,100,1.743863e+03
29,30,1,4.531549e+03
29,30,2,4.370069e+03
29,30,3,3.881833e+03
29,30,5,3.625592e+03
29,30,10,2.393525e+03
29,30,20,1.979620e+03
29,30,30,1.714114e+03
29,30,40,1.659438e+03
29,30,50,1.651623e+03
29,30,60,1.640184e+03
29,30,70,1.636105e+03
29,30,80,1.634648e+03
29,30,90,1.623781e+03
29,30,100,1.623561e+03
29,30,1,5.427435e+03
29,30,2,5.207255e+03
29,30,3,4.646897e+03
29,30,5,3.638921e+03
29,30,10,2.851971e+03
29,30,20,2.175091e+03
29,30,30,2.040827e+03
29,30,40,2.015671e+03
29,30,50,1.979532e+03
29,30,60,1.968737e+03
29,30,70,1.967177e+03
29,30,80,1.962291e+03
29,30,90,1.946476e+03
29,30,100,1.945115e+03
