funcid,dim,milestone,error
17,10,1,3.082843e+02
17,10,2,1.875779e+02
17,10,3,1.875779e+02
17,10,5,1.597725e+02
17,10,10,9.758139e+01
17,10,20,9.293627e+01
17,10,30,9.242181e+01
17,10,40,9.239667e+01
17,10,50,9.222653e+01
17,10,60,9.189834e+01
17,10,70,9.189834e+01
17,10,80,9.185525e+01
17,10,90,9.185513e+01
17,10,100,9.185513e+01
17,10,1,2.535704e+02
17,10,2,2.535704e+02
17,10,3,1.924722e+02
17,10,5,1.924722e+02
17,10,10,1.544672e+02
17,10,20,1.054369e+02
17,10,30,1.029852e+02
17,10,40,1.014534e+02
17,10,50,9.956769e+01
17,10,60,9.552353e+01
17,10,70,9.552353e+01
17,10,80,9.528807e+01
17,10,90,9.525168e+01
17,10,100,9.525168e+01
17,10,1,2.462075e+02
17,10,2,2.462075e+02
17,10,3,1.982231e+02
17,10,5,1.982231e+02
17,10,10,1.255584e+02
17,10,20,9.789813e+01
17,10,30,9.660283e+01
17,10,40,9.609622e+01
17,10,50,8.990569e+01
17,10,60,8.853623e+01
17,10,70,8.853623e+01
17,10,80,8.706952e+01
17,10,90,8.622641e+01
17,10,100,8.622641e+01
17,10,1,3.045424e+02
17,10,2,2.503128e+02
17,10,3,2.503128e+02
17,10,5,1.643312e+02
17,10,10,7.493663e+01
17,10,20,7.288257e+01
17,10,30,6.838464e+01
17,10,40,6.511208e+01
17,10,50,6.511208e+01
17,10,60,6.498645e+01
17,10,70,6.487839e+01
17,10,80,6.487770e+01
17,10,90,6.487770e+01
17,10,100,6.474257e+01
17,10,1,4.296806e+02
17,10,2,3.482762e+02
17,10,3,3.482762e+02
17,10,5,2.127421e+02
17,10,10,9.171662e+01
17,10,20,8.866427e+01
17,10,30,8.757698e+01
17,10,40,7.833197e+01
17,10,50,7.763109e+01
17,10,60,7.762872e+01
17,10,70,7.734437e+01
17,10,80,7.175944e+01
17,10,90,7.157654e+01
17,10,100,7.157654e+01
17,10,1,3.845888e+02
17,10,2,3.477486e+02
17,10,3,3.096452e+02
17,10,5,1.775876e+02
17,10,10,1.559851e+02
17,10,20,1.104586e+02
17,10,30,1.085373e+02
17,10,40,7.256618e+01
17,10,50,7.205290e+01
17,10,60,7.205290e+01
17,10,70,7.183957e+01
17,10,80,7.133268e+01
17,10,90,7.133268e+01
17,10,100,7.108724e+01
17,10,1,3.569753e+02
17,10,2,2.805637e+02
17,10,3,1.776833e+02
17,10,5,1.776833e+02
17,10,10,1.009695e+02
17,10,20,9.601811e+01
17,10,30,9.571763e+01
17,10,40,9.508126e+01
17,10,50,7.564273e+01
17,10,60,6.879183e+01
17,10,70,6.808770e+01
17,10,80,6.808033e+01
17,10,90,6.749826e+01
17,10,100,6.749826e+01
17,10,1,3.367186e+02
17,10,2,2.802171e+02
17,10,3,2.092527e+02
17,10,5,2.043966e+02
17,10,10,1.675393e+02
17,10,20,1.076557e+02
17,10,30,1.036492e+02
17,10,40,9.974384e+01
17,10,50,9.923772e+01
17,10,60,7.918798e+01
17,10,70,7.433860e+01
17,10,80,7.432197e+01
17,10,90,7.432197e+01
17,10,100,7.298967e+01
17,10,1,4.900448e+02
17,10,2,3.101658e+02
17,10,3,2.683013e+02
17,10,5,1.710213e+02
17,10,10,1.396754e+02
17,10,20,1.053525e+02
17,10,30,7.106396e+01
17,10,40,7.106396e+01
17,10,50,5.139320e+01
17,10,60,4.399697e+01
17,10,70,3.985711e+01
17,10,80,3.985711e+01
17,10,90,3.946196e+01
17,10,100,3.941825e+01
17,10,1,2.757604e+02
17,10,2,1.999205e+02
17,10,3,8.394896e+01
17,10,5,8.394896e+01
17,10,10,7.059549e+01
17,10,20,6.937193e+01
17,10,30,6.799061e+01
17,10,40,6.029238e+01
17,10,50,5.765012e+01
17,10,60,5.765012e+01
17,10,70,5.758782e+01
17,10,80,5.729992e+01
17,10,90,5.729992e+01
17,10,100,5.675844e+01
