funcid,dim,milestone,error
12,10,1,7.010388e+08
12,10,2,1.316493e+08
12,10,3,1.044918e+08
12,10,5,4.504500e+07
12,10,10,1.195499e+07
12,10,20,1.393519e+06
12,10,30,5.372792e+05
12,10,40,5.946378e+04
12,10,50,4.727464e+04
12,10,60,4.727464e+04
12,10,70,5.547407e+03
12,10,80,5.149740e+03
12,10,90,5.149740e+03
12,10,100,5.118642e+03
12,10,1,5.008599e+08
12,10,2,1.216711e+08
12,10,3,1.216711e+08
12,10,5,4.410919e+07
12,10,10,2.524900e+07
12,10,20,2.008591e+06
12,10,30,4.678471e+05
12,10,40,1.022911e+04
12,10,50,3.731509e+03
12,10,60,3.639353e+03
12,10,70,3.639353e+03
12,10,80,3.622320e+03
12,10,90,3.615625e+03
12,10,100,3.615625e+03
12,10,1,1.060461e+09
12,10,2,5.832363e+08
12,10,3,4.765039e+08
12,10,5,6.759315e+07
12,10,10,3.664251e+07
12,10,20,3.044366e+06
12,10,30,3.048721e+05
12,10,40,1.422992e+05
12,10,50,5.650139e+04
12,10,60,2.770499e+04
12,10,70,2.760039e+04
12,10,80,1.022449e+04
12,10,90,1.022449e+04
12,10,100,8.986066e+03
12,10,1,3.965098e+08
12,10,2,8.442035e+07
12,10,3,5.431483e+07
12,10,5,5.431483e+07
12,10,10,1.331716e+07
12,10,20,1.891672e+06
12,10,30,7.239363e+05
12,10,40,1.893345e+05
12,10,50,1.641425e+04
12,10,60,1.641425e+04
12,10,70,1.607079e+04
12,10,80,4.484947e+03
12,10,90,4.484947e+03
12,10,100,4.265341e+03
12,10,1,7.833339e+08
12,10,2,2.182360e+08
12,10,3,1.993630e+08
12,10,5,6.004863e+07
12,10,10,1.387717e+07
12,10,20,1.755735e+06
12,10,30,1.747777e+05
12,10,40,1.387347e+04
12,10,50,9.117366e+03
12,10,60,9.117366e+03
12,10,70,9.086969e+03
12,10,80,9.077458e+03
12,10,90,9.077458e+03
12,10,100,9.075460e+03
12,10,1,1.787136e+08
12,10,2,1.771438e+08
12,10,3,1.604624e+08
12,10,5,4.592453e+07
12,10,10,7.028444e+06
12,10,20,1.763265e+06
12,10,30,3.380834e+04
12,10,40,2.801650e+04
12,10,50,2.785537e+04
12,10,60,2.783991e+04
12,10,70,2.783991e+04
12,10,80,2.782004e+04
12,10,90,5.419840e+03
12,10,100,5.419840e+03
12,10,1,4.811376e+08
12,10,2,4.811376e+08
12,10,3,3.553990e+08
12,10,5,1.085740e+08
12,10,10,2.618095e+07
12,10,20,5.367283e+06
12,10,30,1.014649e+06
12,10,40,8.970348e+04
12,10,50,3.582310e+04
12,10,60,3.448050e+04
12,10,70,2.916199e+04
12,10,80,2.822689e+04
12,10,90,2.822689e+04
12,10,100,2.808071e+04
12,10,1,2.703715e+08
12,10,2,2.703715e+08
12,10,3,2.609991e+08
12,10,5,3.535412e+07
12,10,10,2.315643e+07
12,10,20,3.037210e+06
12,10,30,5.085662e+05
12,10,40,6.973068e+04
12,10,50,1.095772e+04
12,10,60,8.336770e+03
12,10,70,5.153302e+03
12,10,80,4.271085e+03
12,10,90,4.271085e+03
12,10,100,4.229892e+03
12,10,1,2.987714e+08
12,10,2,2.987714e+08
12,10,3,2.536271e+08
12,10,5,4.785858e+07
12,10,10,3.831831e+06
12,10,20,2.913695e+06
12,10,30,4.560324e+05
12,10,40,4.227440e+04
12,10,50,2.609346e+04
12,10,60,1.254415e+04
12,10,70,1.226101e+04
12,10,80,1.226101e+04
12,10,90,1.220565e+04
12,10,100,1.214272e+04
12,10,1,3.426092e+08
12,10,2,2.607259e+08
12,10,3,2.607259e+08
12,10,5,1.688766e+07
12,10,10,8.794966e+06
12,10,20,1.291523e+06
12,10,30,1.409118e+05
12,10,40,4.437734e+04
12,10,50,1.558050e+04
12,10,60,1.545940e+04
12,10,70,1.540195e+04
12,10,80,1.540195e+04
12,10,90,1.536741e+04
12,10,100,1.536741e+04
