funcid,dim,milestone,error
28,10,1,9.037833e+02
28,10,2,8.965903e+02
28,10,3,8.923865e+02
28,10,5,6.898608e+02
28,10,10,6.633098e+02
28,10,20,5.746320e+02
28,10,30,5.139379e+02
28,10,40,4.227835e+02
28,10,50,3.845234e+02
28,10,60,3.674354e+02
28,10,70,3.567257e+02
28,10,80,3.567257e+02
28,10,90,3.505108e+02
28,10,100,3.395746e+02
28,10,1,1.265364e+03
28,10,2,1.028634e+03
28,10,3,9.759780e+02
28,10,5,7.332397e+02
28,10,10,6.331888e+02
28,10,20,5.218524e+02
28,10,30,4.663039e+02
28,10,40,4.312866e+02
28,10,50,4.065008e+02
28,10,60,3.878231e+02
28,10,70,3.747798e+02
28,10,80,3.690244e+02
28,10,90,3.608545e+02
28,10,100,3.311741e+02
28,10,1,7.635517e+02
28,10,2,6.924603e+02
28,10,3,6.885186e+02
28,10,5,6.450770e+02
28,10,10,5.405175e+02
28,10,20,5.274512e+02
28,10,30,3.835205e+02
28,10,40,3.659242e+02
28,10,50,3.604865e+02
28,10,60,3.573002e+02
28,10,70,3.545519e+02
28,10,80,3.545519e+02
28,10,90,3.511030e+02
28,10,100,3.511030e+02
28,10,1,1.099179e+03
28,10,2,1.060470e+03
28,10,3,1.054062e+03
28,10,5,7.744133e+02
28,10,10,6.032861e+02
28,10,20,5.356896e+02
28,10,30,4.488904e+02
28,10,40,4.063927e+02
28,10,50,3.803463e+02
28,10,60,3.481459e+02
28,10,70,2.820899e+02
28,10,80,2.079348e+02
28,10,90,1.409789e+02
28,10,100,1.179352e+02
28,10,1,9.791576e+02
28,10,2,9.111206e+02
28,10,3,9.111206e+02
28,10,5,6.683153e+02
28,10,10,5.566843e+02
28,10,20,4.987829e+02
28,10,30,4.730789e+02
28,10,40,4.370395e+02
28,10,50,4.154871e+02
28,10,60,4.047827e+02
28,10,70,3.826097e+02
28,10,80,3.826097e+02
28,10,90,3.588725e+02
28,10,100,3.440085e+02
28,10,1,1.022511e+03
28,10,2,1.022511e+03
28,10,3,9.962193e+02
28,10,5,7.479065e+02
28,10,10,5.514106e+02
28,10,20,5.235640e+02
28,10,30,4.716170e+02
28,10,40,4.399772e+02
28,10,50,3.994961e+02
28,10,60,3.867280e+02
28,10,70,3.825113e+02
28,10,80,3.709395e+02
28,10,90,3.568179e+02
28,10,100,3.417305e+02
28,10,1,1.148319e+03
28,10,2,1.116796e+03
28,10,3,1.116172e+03
28,10,5,8.040609e+02
28,10,10,5.257596e+02
28,10,20,4.165817e+02
28,10,30,3.763477e+02
28,10,40,3.660416e+02
28,10,50,3.252479e+02
28,10,60,3.210705e+02
28,10,70,2.386671e+02
28,10,80,2.206885e+02
28,10,90,2.178301e+02
28,10,100,2.174567e+02
28,10,1,9.268770e+02
28,10,2,9.235312e+02
28,10,3,9.196737e+02
28,10,5,7.388582e+02
28,10,10,5.502891e+02
28,10,20,4.954738e+02
28,10,30,4.544750e+02
28,10,40,4.134011e+02
28,10,50,3.147961e+02
28,10,60,2.559480e+02
28,10,70,1.811897e+02
28,10,80,1.496057e+02
28,10,90,1.295750e+02
28,10,100,1.295750e+02
28,10,1,1.061305e+03
28,10,2,9.468022e+02
28,10,3,9.419542e+02
28,10,5,8.202722e+02
28,10,10,6.924092e+02
28,10,20,5.825313e+02
28,10,30,4.482534e+02
28,10,40,4.392078e+02
28,10,50,3.985381e+02
28,10,60,3.721072e+02
28,10,70,3.647113e+02
28,10,80,3.647113e+02
28,10,90,3.564038e+02
28,10,100,3.564038e+02
28,10,1,1.257758e+03
28,10,2,1.198542e+03
28,10,3,1.190451e+03
28,10,5,1.003969e+03
28,10,10,7.064185e+02
28,10,20,6.403708e+02
28,10,30,5.285343e+02
28,10,40,4.416164e+02
28,10,50,4.040295e+02
28,10,60,3.869244e+02
28,10,70,2.254804e+02
28,10,80,1.637375e+02
28,10,90,1.333612e+02
28,10,100,1.275568e+02
