funcid,dim,milestone,error
12,30,1,1.492207e+10
12,30,2,1.492207e+10
12,30,3,1.392119e+10
12,30,5,9.943744e+09
12,30,10,4.184536e+09
12,30,20,1.124498e+08
12,30,30,3.285933e+07
12,30,40,8.987790e+06
12,30,50,4.497532e+06
12,30,60,2.728211e+06
12,30,70,1.768572e+06
12,30,80,1.305674e+06
12,30,90,1.031872e+06
12,30,100,8.613671e+05
12,30,1,1.507846e+10
12,30,2,1.447530e+10
12,30,3,1.197576e+10
12,30,5,8.017172e+09
12,30,10,2.622230e+09
12,30,20,2.676592e+07
12,30,30,8.565744e+06
12,30,40,3.869061e+06
12,30,50,3.062459e+06
12,30,60,2.806050e+06
12,30,70,2.618269e+06
12,30,80,2.069910e+06
12,30,90,1.504958e+06
12,30,100,1.124016e+06
12,30,1,1.617715e+10
12,30,2,1.545486e+10
12,30,3,1.322448e+10
12,30,5,9.313133e+09
12,30,10,1.700810e+09
12,30,20,9.863506e+06
12,30,30,3.189328e+06
12,30,40,1.648708e+06
12,30,50,7.873554e+05
12,30,60,4.094981e+05
12,30,70,2.764740e+05
12,30,80,2.460408e+05
12,30,90,2.339716e+05
12,30,100,2.286290e+05
12,30,1,1.283552e+10
12,30,2,1.021698e+10
12,30,3,6.622525e+09
12,30,5,5.129300e+09
12,30,10,2.842815e+09
12,30,20,1.955645e+07
12,30,30,1.464750e+07
12,30,40,1.120566e+07
12,30,50,8.681143e+06
12,30,60,5.830376e+06
12,30,70,3.180290e+06
12,30,80,2.063414e+06
12,30,90,1.378207e+06
12,30,100,1.025933e+06
12,30,1,1.242952e+10
12,30,2,1.154903e+10
12,30,3,1.076556e+10
12,30,5,5.356487e+09
12,30,10,4.852178e+09
12,30,20,3.954451e+06
12,30,30,3.353835e+06
12,30,40,2.908065e+06
12,30,50,2.620006e+06
12,30,60,2.450994e+06
12,30,70,2.405372e+06
12,30,80,2.292943e+06
12,30,90,2.228247e+06
12,30,100,2.183347e+06
12,30,1,1.574622e+10
12,30,2,1.368075e+10
12,30,3,1.221443e+10
12,30,5,9.787722e+09
12,30,10,1.892990e+09
12,30,20,2.299017e+07
12,30,30,6.160067e+06
12,30,40,3.869882e+06
12,30,50,3.008173e+06
12,30,60,2.396637e+06
12,30,70,2.043768e+06
12,30,80,1.765698e+06
12,30,90,1.494850e+06
12,30,100,1.284037e+06
12,30,1,1.280648e+10
12,30,2,1.280648e+10
12,30,3,8.500100e+09
12,30,5,6.919389e+09
12,30,10,3.418013e+09
12,30,20,3.232416e+07
12,30,30,2.340267e+07
12,30,40,1.558464e+07
12,30,50,1.059595e+07
12,30,60,8.051350e+06
12,30,70,6.402119e+06
12,30,80,5.271899e+06
12,30,90,4.435237e+06
12,30,100,3.672508e+06
12,30,1,1.483132e+10
12,30,2,9.803548e+09
12,30,3,9.803548e+09
12,30,5,6.216694e+09
12,30,10,2.520799e+09
12,30,20,4.243486e+07
12,30,30,6.687845e+06
12,30,40,4.240636e+06
12,30,50,3.450525e+06
12,30,60,2.992045e+06
12,30,70,2.756982e+06
12,30,80,2.615308e+06
12,30,90,2.470498e+06
12,30,100,2.365070e+06
12,30,1,1.593421e+10
12,30,2,1.512376e+10
12,30,3,6.412637e+09
12,30,5,6.412637e+09
12,30,10,2.165161e+09
12,30,20,6.167665e+07
12,30,30,1.675490e+07
12,30,40,5.200649e+06
12,30,50,2.473312e+06
12,30,60,1.575165e+06
12,30,70,1.271250e+06
12,30,80,1.263753e+06
12,30,90,1.255698e+06
12,30,100,1.042201e+06
12,30,1,1.113588e+10
12,30,2,9.505913e+09
12,30,3,5.935409e+09
12,30,5,4.724618e+09
12,30,10,1.396555e+09
12,30,20,3.509974e+07
12,30,30,1.393367e+07
12,30,40,8.928819e+06
12,30,50,6.167291e+06
12,30,60,4.729717e+06
12,30,70,3.625772e+06
12,30,80,2.800985e+06
12,30,90,2.215005e+06
12,30,100,1.784714e+06
