funcid,dim,milestone,error
26,10,1,9.363981e+02
26,10,2,9.363981e+02
26,10,3,8.939989e+02
26,10,5,7.715790e+02
26,10,10,7.165531e+02
26,10,20,5.649780e+02
26,10,30,5.330969e+02
26,10,40,4.983669e+02
26,10,50,4.343304e+02
26,10,60,3.505602e+02
26,10,70,3.505602e+02
26,10,80,2.790284e+02
26,10,90,2.339204e+02
26,10,100,2.339204e+02
26,10,1,2.259420e+03
26,10,2,1.897677e+03
26,10,3,1.875099e+03
26,10,5,1.398208e+03
26,10,10,1.065082e+03
26,10,20,4.256627e+02
26,10,30,3.078421e+02
26,10,40,1.744440e+02
26,10,50,1.417630e+02
26,10,60,6.760468e+01
26,10,70,6.760468e+01
26,10,80,4.352344e+01
26,10,90,2.342989e+01
26,10,100,2.342989e+01
26,10,1,1.147591e+03
26,10,2,1.135887e+03
26,10,3,1.135887e+03
26,10,5,9.192778e+02
26,10,10,7.976663e+02
26,10,20,6.937681e+02
26,10,30,4.950954e+02
26,10,40,3.360566e+02
26,10,50,2.602250e+02
26,10,60,1.274005e+02
26,10,70,6.927685e+01
26,10,80,6.927685e+01
26,10,90,3.670764e+01
26,10,100,1.062044e+01
26,10,1,1.879826e+03
26,10,2,1.388842e+03
26,10,3,1.378392e+03
26,10,5,1.051485e+03
26,10,10,7.400154e+02
26,10,20,6.250853e+02
26,10,30,5.740975e+02
26,10,40,4.144839e+02
26,10,50,3.663077e+02
26,10,60,3.512046e+02
26,10,70,3.512046e+02
26,10,80,3.228497e+02
26,10,90,3.136060e+02
26,10,100,2.781384e+02
26,10,1,1.663623e+03
26,10,2,1.663623e+03
26,10,3,1.646193e+03
26,10,5,1.115470e+03
26,10,10,8.419412e+02
26,10,20,7.886885e+02
26,10,30,6.204636e+02
26,10,40,5.704549e+02
26,10,50,5.575374e+02
26,10,60,5.004284e+02
26,10,70,3.378093e+02
26,10,80,3.243237e+02
26,10,90,2.612182e+02
26,10,100,2.348784e+02
26,10,1,1.580266e+03
26,10,2,1.410347e+03
26,10,3,1.402803e+03
26,10,5,9.268556e+02
26,10,10,7.693072e+02
26,10,20,5.176527e+02
26,10,30,4.500909e+02
26,10,40,4.276542e+02
26,10,50,3.629077e+02
26,10,60,3.018533e+02
26,10,70,3.018533e+02
26,10,80,3.018533e+02
26,10,90,3.018533e+02
26,10,100,3.018533e+02
26,10,1,9.772802e+02
26,10,2,9.037354e+02
26,10,3,8.903337e+02
26,10,5,8.903337e+02
26,10,10,7.788092e+02
26,10,20,4.505953e+02
26,10,30,2.312400e+02
26,10,40,1.769245e+02
26,10,50,1.197623e+02
26,10,60,1.197623e+02
26,10,70,7.844232e+01
26,10,80,3.559457e+01
26,10,90,1.653908e+01
26,10,100,1.653908e+01
26,10,1,2.263918e+03
26,10,2,1.805293e+03
26,10,3,1.669185e+03
26,10,5,6.233765e+02
26,10,10,5.996596e+02
26,10,20,5.258533e+02
26,10,30,4.817087e+02
26,10,40,4.158990e+02
26,10,50,3.418174e+02
26,10,60,3.023221e+02
26,10,70,2.527834e+02
26,10,80,2.527834e+02
26,10,90,2.339584e+02
26,10,100,2.339584e+02
26,10,1,1.696228e+03
26,10,2,1.427977e+03
26,10,3,1.417472e+03
26,10,5,1.194369e+03
26,10,10,8.428254e+02
26,10,20,7.158825e+02
26,10,30,4.894887e+02
26,10,40,3.793348e+02
26,10,50,2.896975e+02
26,10,60,2.416335e+02
26,10,70,1.839914e+02
26,10,80,1.205409e+02
26,10,90,1.205409e+02
26,10,100,6.207547e+01
26,10,1,1.663395e+03
26,10,2,1.325254e+03
26,10,3,1.310487e+03
26,10,5,9.034353e+02
26,10,10,4.483201e+02
26,10,20,3.471143e+02
26,10,30,2.514401e+02
26,10,40,2.049633e+02
26,10,50,1.383052e+02
26,10,60,9.370612e+01
26,10,70,9.370612e+01
26,10,80,3.812080e+01
26,10,90,2.228472e+01
26,10,100,2.228472e+01
