funcid,dim,milestone,error
11,30,1,1.613691e+04
11,30,2,1.368338e+04
11,30,3,1.121372e+04
11,30,5,1.098970e+04
11,30,10,1.059354e+04
11,30,20,9.539546e+03
11,30,30,8.071045e+03
11,30,40,6.269185e+03
11,30,50,5.804920e+03
11,30,60,5.804920e+03
11,30,70,5.338049e+03
11,30,80,3.399654e+03
11,30,90,2.662865e+03
11,30,100,1.409626e+03
11,30,1,8.104709e+03
11,30,2,8.077298e+03
11,30,3,8.077298e+03
11,30,5,4.465861e+03
11,30,10,4.465861e+03
11,30,20,4.465861e+03
11,30,30,4.465861e+03
11,30,40,4.120054e+03
11,30,50,3.638817e+03
11,30,60,3.232788e+03
11,30,70,2.780323e+03
11,30,80,1.988035e+03
11,30,90,1.439107e+03
11,30,100,9.999110e+02
11,30,1,1.290514e+04
11,30,2,1.290514e+04
11,30,3,1.121453e+04
11,30,5,1.098189e+04
11,30,10,8.168059e+03
11,30,20,6.250369e+03
11,30,30,6.250369e+03
11,30,40,6.250369e+03
11,30,50,6.250369e+03
11,30,60,5.242042e+03
11,30,70,3.798321e+03
11,30,80,2.570055e+03
11,30,90,1.256400e+03
11,30,100,8.229953e+02
11,30,1,1.719883e+04
11,30,2,1.719883e+04
11,30,3,1.340536e+04
11,30,5,1.175086e+04
11,30,10,1.111759e+04
11,30,20,9.549851e+03
11,30,30,4.835711e+03
11,30,40,4.835711e+03
11,30,50,4.835711e+03
11,30,60,4.798632e+03
11,30,70,3.669308e+03
11,30,80,2.777879e+03
11,30,90,1.767202e+03
11,30,100,8.719012e+02
11,30,1,1.166626e+04
11,30,2,1.166626e+04
11,30,3,1.166626e+04
11,30,5,1.166626e+04
11,30,10,1.039025e+04
11,30,20,8.114048e+03
11,30,30,7.579503e+03
11,30,40,6.425529e+03
11,30,50,5.488103e+03
11,30,60,4.139909e+03
11,30,70,3.336796e+03
11,30,80,2.398633e+03
11,30,90,1.619497e+03
11,30,100,7.588182e+02
11,30,1,1.320306e+04
11,30,2,1.313480e+04
11,30,3,1.313480e+04
11,30,5,1.307767e+04
11,30,10,1.245800e+04
11,30,20,8.133474e+03
11,30,30,6.658536e+03
11,30,40,4.201734e+03
11,30,50,3.959910e+03
11,30,60,3.046796e+03
11,30,70,2.662371e+03
11,30,80,2.146461e+03
11,30,90,1.633922e+03
11,30,100,1.088638e+03
11,30,1,1.622749e+04
11,30,2,1.622749e+04
11,30,3,1.585961e+04
11,30,5,1.526181e+04
11,30,10,1.244413e+04
11,30,20,1.160599e+04
11,30,30,1.012602e+04
11,30,40,8.463035e+03
11,30,50,5.820430e+03
11,30,60,5.653035e+03
11,30,70,2.504534e+03
11,30,80,2.144748e+03
11,30,90,1.360565e+03
11,30,100,8.463185e+02
11,30,1,1.127221e+04
11,30,2,1.127221e+04
11,30,3,1.127221e+04
11,30,5,1.127221e+04
11,30,10,1.127221e+04
11,30,20,1.127221e+04
11,30,30,1.018934e+04
11,30,40,3.999734e+03
11,30,50,2.358506e+03
11,30,60,2.358506e+03
11,30,70,2.358506e+03
11,30,80,2.358506e+03
11,30,90,2.310541e+03
11,30,100,1.284586e+03
11,30,1,1.300737e+04
11,30,2,1.300737e+04
11,30,3,1.243047e+04
11,30,5,1.215403e+04
11,30,10,1.033948e+04
11,30,20,8.471163e+03
11,30,30,6.003333e+03
11,30,40,5.206742e+03
11,30,50,4.581421e+03
11,30,60,3.790997e+03
11,30,70,3.183948e+03
11,30,80,2.339986e+03
11,30,90,1.363771e+03
11,30,100,1.117841e+03
11,30,1,1.448429e+04
11,30,2,1.411491e+04
11,30,3,1.411491e+04
11,30,5,1.411491e+04
11,30,10,1.251380e+04
11,30,20,1.061696e+04
11,30,30,9.551917e+03
11,30,40,7.671355e+03
11,30,50,5.801826e+03
11,30,60,3.305234e+03
11,30,70,3.305234e+03
11,30,80,2.816111e+03
11,30,90,1.608962e+03
11,30,100,9.208723e+02
