funcid,dim,milestone,error
21,30,1,7.236665e+02
21,30,2,7.221030e+02
21,30,3,6.855086e+02
21,30,5,6.697318e+02
21,30,10,6.530400e+02
21,30,20,4.122455e+02
21,30,30,3.727344e+02
21,30,40,3.212764e+02
21,30,50,2.600980e+02
21,30,60,2.470824e+02
21,30,70,2.366390e+02
21,30,80,2.278483e+02
21,30,90,2.191967e+02
21,30,100,1.594107e+02
21,30,1,6.999703e+02
21,30,2,6.999703e+02
21,30,3,6.638948e+02
21,30,5,6.499000e+02
21,30,10,6.382723e+02
21,30,20,5.741426e+02
21,30,30,5.434981e+02
21,30,40,5.116415e+02
21,30,50,5.003683e+02
21,30,60,4.934175e+02
21,30,70,4.860353e+02
21,30,80,4.821378e+02
21,30,90,4.135419e+02
21,30,100,3.224884e+02
21,30,1,7.068612e+02
21,30,2,6.876774e+02
21,30,3,6.876774e+02
21,30,5,6.777683e+02
21,30,10,6.296777e+02
21,30,20,5.787971e+02
21,30,30,5.366048e+02
21,30,40,5.134810e+02
21,30,50,4.933415e+02
21,30,60,4.325808e+02
21,30,70,3.875085e+02
21,30,80,3.875085e+02
21,30,90,3.749708e+02
21,30,100,3.665407e+02
21,30,1,6.701809e+02
21,30,2,6.701809e+02
21,30,3,6.701809e+02
21,30,5,6.651055e+02
21,30,10,6.024723e+02
21,30,20,5.790605e+02
21,30,30,5.029682e+02
21,30,40,3.353623e+02
21,30,50,3.156240e+02
21,30,60,2.890249e+02
21,30,70,2.629045e+02
21,30,80,2.433817e+02
21,30,90,2.366002e+02
21,30,100,2.289587e+02
21,30,1,6.894526e+02
21,30,2,6.812573e+02
21,30,3,6.614407e+02
21,30,5,6.404658e+02
21,30,10,6.205696e+02
21,30,20,5.812079e+02
21,30,30,5.664581e+02
21,30,40,5.537138e+02
21,30,50,5.383989e+02
21,30,60,5.237559e+02
21,30,70,5.205025e+02
21,30,80,5.124999e+02
21,30,90,4.953522e+02
21,30,100,4.953522e+02
21,30,1,6.795150e+02
21,30,2,6.732730e+02
21,30,3,6.484384e+02
21,30,5,6.355779e+02
21,30,10,6.136010e+02
21,30,20,5.778411e+02
21,30,30,5.464377e+02
21,30,40,5.169613e+02
21,30,50,5.072000e+02
21,30,60,4.895165e+02
21,30,70,4.777038e+02
21,30,80,4.672646e+02
21,30,90,4.591256e+02
21,30,100,4.510427e+02
21,30,1,7.181750e+02
21,30,2,7.088219e+02
21,30,3,7.088219e+02
21,30,5,6.958580e+02
21,30,10,6.434156e+02
21,30,20,5.949675e+02
21,30,30,5.714986e+02
21,30,40,5.437291e+02
21,30,50,5.375892e+02
21,30,60,5.291632e+02
21,30,70,5.168940e+02
21,30,80,5.087392e+02
21,30,90,5.040735e+02
21,30,100,5.038751e+02
21,30,1,7.316555e+02
21,30,2,7.124457e+02
21,30,3,7.068039e+02
21,30,5,6.930416e+02
21,30,10,6.656298e+02
21,30,20,6.205465e+02
21,30,30,6.004289e+02
21,30,40,5.542172e+02
21,30,50,5.375178e+02
21,30,60,5.195766e+02
21,30,70,5.062461e+02
21,30,80,4.962516e+02
21,30,90,4.920490e+02
21,30,100,4.901279e+02
21,30,1,7.347984e+02
21,30,2,7.122411e+02
21,30,3,6.950283e+02
21,30,5,6.888068e+02
21,30,10,6.398831e+02
21,30,20,6.114074e+02
21,30,30,4.686521e+02
21,30,40,3.489893e+02
21,30,50,2.848275e+02
21,30,60,2.597164e+02
21,30,70,2.316452e+02
21,30,80,2.092754e+02
21,30,90,1.975618e+02
21,30,100,1.899749e+02
21,30,1,6.682326e+02
21,30,2,6.414560e+02
21,30,3,6.414560e+02
21,30,5,6.203399e+02
21,30,10,5.946022e+02
21,30,20,5.631335e+02
21,30,30,4.821699e+02
21,30,40,3.711223e+02
21,30,50,3.336067e+02
21,30,60,3.056223e+02
21,30,70,2.765472e+02
21,30,80,2.527551e+02
21,30,90,2.392305e+02
21,30,100,2.309010e+02
