funcid,dim,milestone,error
16,10,1,5.814377e+02
16,10,2,5.733043e+02
16,10,3,5.468997e+02
16,10,5,5.468997e+02
16,10,10,4.843782e+02
16,10,20,3.062726e+02
16,10,30,2.725373e+02
16,10,40,2.335599e+02
16,10,50,2.169348e+02
16,10,60,2.169348e+02
16,10,70,2.065046e+02
16,10,80,1.965561e+02
16,10,90,1.965561e+02
16,10,100,1.897268e+02
16,10,1,5.442444e+02
16,10,2,4.033563e+02
16,10,3,4.033563e+02
16,10,5,3.784064e+02
16,10,10,3.232317e+02
16,10,20,2.213241e+02
16,10,30,2.194199e+02
16,10,40,2.170325e+02
16,10,50,2.170325e+02
16,10,60,2.136891e+02
16,10,70,2.111232e+02
16,10,80,2.071480e+02
16,10,90,2.071480e+02
16,10,100,2.041909e+02
16,10,1,7.124199e+02
16,10,2,6.800929e+02
16,10,3,6.608614e+02
16,10,5,6.370149e+02
16,10,10,4.711104e+02
16,10,20,3.827387e+02
16,10,30,3.112480e+02
16,10,40,2.990133e+02
16,10,50,2.943080e+02
16,10,60,2.890207e+02
16,10,70,4.504186e+01
16,10,80,4.504186e+01
16,10,90,3.704693e+01
16,10,100,3.704693e+01
16,10,1,6.599029e+02
16,10,2,4.628304e+02
16,10,3,4.628304e+02
16,10,5,4.070740e+02
16,10,10,2.433578e+02
16,10,20,1.233759e+02
16,10,30,6.165210e+01
16,10,40,5.482834e+01
16,10,50,5.166554e+01
16,10,60,5.002487e+01
16,10,70,5.002487e+01
16,10,80,4.730329e+01
16,10,90,4.529587e+01
16,10,100,4.529587e+01
16,10,1,5.256667e+02
16,10,2,3.260026e+02
16,10,3,3.188585e+02
16,10,5,3.188585e+02
16,10,10,3.154921e+02
16,10,20,2.545399e+02
16,10,30,2.479276e+02
16,10,40,2.471162e+02
16,10,50,2.463022e+02
16,10,60,2.452616e+02
16,10,70,2.452616e+02
16,10,80,2.444241e+02
16,10,90,2.411829e+02
16,10,100,2.411829e+02
16,10,1,7.295863e+02
16,10,2,6.287271e+02
16,10,3,6.287271e+02
16,10,5,5.545708e+02
16,10,10,4.399574e+02
16,10,20,3.287228e+02
16,10,30,3.046593e+02
16,10,40,3.010106e+02
16,10,50,2.998036e+02
16,10,60,2.973937e+02
16,10,70,2.973937e+02
16,10,80,2.943879e+02
16,10,90,2.928038e+02
16,10,100,2.928038e+02
16,10,1,6.220378e+02
16,10,2,6.220378e+02
16,10,3,5.806113e+02
16,10,5,4.177393e+02
16,10,10,2.561729e+02
16,10,20,1.445707e+02
16,10,30,1.298521e+02
16,10,40,1.280853e+02
16,10,50,1.274147e+02
16,10,60,1.258389e+02
16,10,70,1.258389e+02
16,10,80,1.242310e+02
16,10,90,1.231511e+02
16,10,100,1.231511e+02
16,10,1,8.691010e+02
16,10,2,4.643336e+02
16,10,3,4.643336e+02
16,10,5,4.220699e+02
16,10,10,3.561268e+02
16,10,20,2.981924e+02
16,10,30,2.805908e+02
16,10,40,2.605507e+02
16,10,50,2.322589e+02
16,10,60,2.161557e+02
16,10,70,2.161557e+02
16,10,80,2.043558e+02
16,10,90,1.928687e+02
16,10,100,1.928687e+02
16,10,1,9.013674e+02
16,10,2,7.220931e+02
16,10,3,6.863351e+02
16,10,5,5.332375e+02
16,10,10,4.889545e+02
16,10,20,3.429355e+02
16,10,30,3.379192e+02
16,10,40,2.070071e+02
16,10,50,2.070071e+02
16,10,60,1.581896e+02
16,10,70,1.573670e+02
16,10,80,1.566325e+02
16,10,90,1.566325e+02
16,10,100,1.560085e+02
16,10,1,5.995002e+02
16,10,2,5.676544e+02
16,10,3,4.535231e+02
16,10,5,2.615795e+02
16,10,10,2.232464e+02
16,10,20,2.046937e+02
16,10,30,2.034454e+02
16,10,40,2.030085e+02
16,10,50,2.030085e+02
16,10,60,2.015362e+02
16,10,70,2.005460e+02
16,10,80,1.995918e+02
16,10,90,1.995918e+02
16,10,100,1.983863e+02
