funcid,dim,milestone,error
24,10,1,4.734083e+02
24,10,2,4.656408e+02
24,10,3,4.656408e+02
24,10,5,3.657367e+02
24,10,10,2.928336e+02
24,10,20,2.063771e+02
24,10,30,1.841667e+02
24,10,40,1.565111e+02
24,10,50,1.471862e+02
24,10,60,1.398149e+02
24,10,70,1.336815e+02
24,10,80,1.336815e+02
24,10,90,1.257636e+02
24,10,100,1.181562e+02
24,10,1,5.121082e+02
24,10,2,3.113043e+02
24,10,3,3.113043e+02
24,10,5,2.682085e+02
24,10,10,2.434427e+02
24,10,20,2.149124e+02
24,10,30,1.969174e+02
24,10,40,1.923300e+02
24,10,50,1.653469e+02
24,10,60,1.578224e+02
24,10,70,1.467187e+02
24,10,80,1.376739e+02
24,10,90,1.376739e+02
24,10,100,1.313260e+02
24,10,1,4.733874e+02
24,10,2,4.406616e+02
24,10,3,4.368543e+02
24,10,5,2.242063e+02
24,10,10,2.099414e+02
24,10,20,1.867067e+02
24,10,30,1.828932e+02
24,10,40,1.796219e+02
24,10,50,1.724230e+02
24,10,60,1.661901e+02
24,10,70,1.523950e+02
24,10,80,1.355901e+02
24,10,90,1.355901e+02
24,10,100,1.269939e+02
24,10,1,4.932357e+02
24,10,2,4.742893e+02
24,10,3,4.696900e+02
24,10,5,3.006203e+02
24,10,10,2.764848e+02
24,10,20,2.399852e+02
24,10,30,2.101604e+02
24,10,40,1.664822e+02
24,10,50,1.522491e+02
24,10,60,1.405394e+02
24,10,70,1.344011e+02
24,10,80,1.216362e+02
24,10,90,1.216362e+02
24,10,100,1.165587e+02
24,10,1,4.842164e+02
24,10,2,4.520921e+02
24,10,3,4.459485e+02
24,10,5,4.299234e+02
24,10,10,3.454840e+02
24,10,20,2.526810e+02
24,10,30,1.849212e+02
24,10,40,1.690408e+02
24,10,50,1.458392e+02
24,10,60,1.189896e+02
24,10,70,1.189896e+02
24,10,80,1.138629e+02
24,10,90,1.138629e+02
24,10,100,1.138629e+02
24,10,1,4.945811e+02
24,10,2,4.569297e+02
24,10,3,4.560331e+02
24,10,5,4.244771e+02
24,10,10,2.706181e+02
24,10,20,2.182451e+02
24,10,30,1.620263e+02
24,10,40,1.563561e+02
24,10,50,1.516592e+02
24,10,60,1.430388e+02
24,10,70,1.354825e+02
24,10,80,1.281361e+02
24,10,90,1.281361e+02
24,10,100,1.204229e+02
24,10,1,3.076979e+02
24,10,2,3.076979e+02
24,10,3,2.910900e+02
24,10,5,2.910900e+02
24,10,10,2.872349e+02
24,10,20,2.562663e+02
24,10,30,2.311935e+02
24,10,40,2.016139e+02
24,10,50,1.840930e+02
24,10,60,1.762611e+02
24,10,70,1.654263e+02
24,10,80,1.519599e+02
24,10,90,1.382162e+02
24,10,100,1.382162e+02
24,10,1,4.936882e+02
24,10,2,4.916796e+02
24,10,3,4.902562e+02
24,10,5,3.817841e+02
24,10,10,2.698403e+02
24,10,20,2.322941e+02
24,10,30,1.687034e+02
24,10,40,1.602065e+02
24,10,50,1.553531e+02
24,10,60,1.486054e+02
24,10,70,1.357071e+02
24,10,80,1.357071e+02
24,10,90,1.282704e+02
24,10,100,1.216776e+02
24,10,1,4.737785e+02
24,10,2,4.402615e+02
24,10,3,4.381017e+02
24,10,5,4.098391e+02
24,10,10,3.348582e+02
24,10,20,2.721826e+02
24,10,30,1.945119e+02
24,10,40,1.712290e+02
24,10,50,1.643472e+02
24,10,60,1.609431e+02
24,10,70,1.554509e+02
24,10,80,1.495920e+02
24,10,90,1.419816e+02
24,10,100,1.349176e+02
24,10,1,4.872312e+02
24,10,2,4.632406e+02
24,10,3,4.611383e+02
24,10,5,3.625051e+02
24,10,10,3.222956e+02
24,10,20,2.249868e+02
24,10,30,1.962319e+02
24,10,40,1.833956e+02
24,10,50,1.756815e+02
24,10,60,1.522830e+02
24,10,70,1.469908e+02
24,10,80,1.336415e+02
24,10,90,1.313812e+02
24,10,100,1.313812e+02
