funcid,dim,milestone,error
19,10,1,4.987889e+05
19,10,2,4.303338e+04
19,10,3,3.746972e+04
19,10,5,8.992890e+03
19,10,10,7.467918e+02
19,10,20,7.275066e+02
19,10,30,1.028579e+02
19,10,40,1.028579e+02
19,10,50,1.028579e+02
19,10,60,1.028562e+02
19,10,70,1.028541e+02
19,10,80,1.028541e+02
19,10,90,1.028530e+02
19,10,100,1.028530e+02
19,10,1,3.188397e+06
19,10,2,2.750497e+04
19,10,3,2.791594e+03
19,10,5,1.473251e+03
19,10,10,1.473251e+03
19,10,20,2.144491e+02
19,10,30,2.144491e+02
19,10,40,2.144491e+02
19,10,50,2.144491e+02
19,10,60,2.144491e+02
19,10,70,2.144491e+02
19,10,80,2.144491e+02
19,10,90,2.144491e+02
19,10,100,2.144491e+02
19,10,1,1.390897e+05
19,10,2,5.884720e+03
19,10,3,1.184968e+03
19,10,5,1.184968e+03
19,10,10,2.884568e+02
19,10,20,1.602889e+02
19,10,30,1.597218e+02
19,10,40,1.595834e+02
19,10,50,1.595834e+02
19,10,60,1.595806e+02
19,10,70,1.595806e+02
19,10,80,1.595801e+02
19,10,90,1.595797e+02
19,10,100,1.595797e+02
19,10,1,3.770780e+04
19,10,2,8.787146e+03
19,10,3,3.180878e+03
19,10,5,3.180878e+03
19,10,10,2.360302e+02
19,10,20,8.602705e+01
19,10,30,8.583815e+01
19,10,40,8.544340e+01
19,10,50,8.539796e+01
19,10,60,8.539796e+01
19,10,70,8.539441e+01
19,10,80,8.539410e+01
19,10,90,8.539410e+01
19,10,100,8.539368e+01
19,10,1,2.541977e+04
19,10,2,2.541977e+04
19,10,3,1.126720e+04
19,10,5,8.130616e+03
19,10,10,2.047737e+02
19,10,20,1.926508e+02
19,10,30,1.925870e+02
19,10,40,1.924277e+02
19,10,50,1.923989e+02
19,10,60,1.923833e+02
19,10,70,1.923833e+02
19,10,80,1.923741e+02
19,10,90,1.923519e+02
19,10,100,1.923519e+02
19,10,1,1.572052e+03
19,10,2,1.572052e+03
19,10,3,1.572052e+03
19,10,5,1.572052e+03
19,10,10,1.055646e+03
19,10,20,8.700713e+02
19,10,30,8.698809e+02
19,10,40,8.698809e+02
19,10,50,8.698809e+02
19,10,60,8.698416e+02
19,10,70,8.698232e+02
19,10,80,8.697188e+02
19,10,90,8.697188e+02
19,10,100,8.696916e+02
19,10,1,1.790067e+04
19,10,2,1.247772e+04
19,10,3,9.953016e+03
19,10,5,5.831830e+03
19,10,10,6.407287e+02
19,10,20,4.660047e+02
19,10,30,4.627869e+02
19,10,40,4.627550e+02
19,10,50,4.627388e+02
19,10,60,4.627388e+02
19,10,70,4.627291e+02
19,10,80,4.627253e+02
19,10,90,4.627253e+02
19,10,100,4.627210e+02
19,10,1,2.693006e+05
19,10,2,1.732528e+04
19,10,3,5.323178e+03
19,10,5,5.323178e+03
19,10,10,1.640840e+03
19,10,20,1.294015e+03
19,10,30,1.293084e+03
19,10,40,1.293060e+03
19,10,50,1.293060e+03
19,10,60,1.293003e+03
19,10,70,1.292880e+03
19,10,80,1.292781e+03
19,10,90,1.292781e+03
19,10,100,1.292494e+03
19,10,1,1.514071e+04
19,10,2,1.514071e+04
19,10,3,3.985288e+03
19,10,5,3.985288e+03
19,10,10,4.162128e+02
19,10,20,4.070872e+02
19,10,30,3.479824e+02
19,10,40,3.475919e+02
19,10,50,3.475630e+02
19,10,60,3.475630e+02
19,10,70,3.475353e+02
19,10,80,3.475133e+02
19,10,90,3.475133e+02
19,10,100,3.475057e+02
19,10,1,3.797116e+05
19,10,2,4.767369e+04
19,10,3,1.868992e+04
19,10,5,6.785096e+02
19,10,10,1.298597e+02
19,10,20,1.044053e+02
19,10,30,1.044010e+02
19,10,40,1.042789e+02
19,10,50,1.042717e+02
19,10,60,1.042676e+02
19,10,70,1.042676e+02
19,10,80,1.042674e+02
19,10,90,1.042674e+02
19,10,100,1.042674e+02
